Purchase{id=25, person=Person{name='Wallace', surname='Oury', email='wouryo@woothemes.com', ip='90.88.188.67'}, car=Car{color='#66184f', vin='4T1BD1EB7FU026332', company='Acura', model='RDX', model_year='2008', price=64467.57}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-11-30}
Purchase{id=54, person=Person{name='Grant', surname='Syrett', email='gsyrett1h@prlog.org', ip='119.89.29.184'}, car=Car{color='#8c163c', vin='WBADX1C5XCE850586', company='Acura', model='RL', model_year='2009', price=87273.74}, location=Location{country='Poland', city='Czerniewice'}, date=2020-12-16}
Purchase{id=247, person=Person{name='Caresse', surname='Bussens', email='cbussens6u@dion.ne.jp', ip='219.63.220.114'}, car=Car{color='#095ecf', vin='YV1940AS0B1810215', company='Acura', model='TL', model_year='2009', price=36695.79}, location=Location{country='Czech Republic', city='Všenory'}, date=2020-02-26}
Purchase{id=424, person=Person{name='Sunny', surname='Wherry', email='swherrybr@apache.org', ip='65.86.131.188'}, car=Car{color='#f4309a', vin='1N6AF0LX4FN314352', company='Acura', model='NSX', model_year='1997', price=82460.18}, location=Location{country='Poland', city='Stoczek Łukowski'}, date=2020-08-11}
Purchase{id=450, person=Person{name='Eldin', surname='Esparza', email='eesparzach@cdc.gov', ip='203.168.41.225'}, car=Car{color='#8054b1', vin='JH4KA96652C469297', company='Acura', model='TL', model_year='2006', price=40421.13}, location=Location{country='Czech Republic', city='Jeseník'}, date=2020-11-25}
Purchase{id=476, person=Person{name='Marlin', surname='Pulford', email='mpulfordd7@google.es', ip='134.148.216.100'}, car=Car{color='#515fe2', vin='1D7RB1GKXAS094771', company='Acura', model='TL', model_year='2005', price=97537.19}, location=Location{country='Poland', city='Izbicko'}, date=2020-01-06}
Purchase{id=490, person=Person{name='Udale', surname='Antyukhin', email='uantyukhindl@t.co', ip='145.62.60.95'}, car=Car{color='#62a077', vin='1G6KS54Y64U621972', company='Acura', model='NSX', model_year='2002', price=41234.76}, location=Location{country='Czech Republic', city='Chlumčany'}, date=2020-03-28}
Purchase{id=622, person=Person{name='Olive', surname='Idell', email='oidellh9@ihg.com', ip='10.117.140.204'}, car=Car{color='#62ca37', vin='KNAFU6A29C5266574', company='Acura', model='RL', model_year='2010', price=19924.03}, location=Location{country='Poland', city='Sadowie'}, date=2020-11-10}
Purchase{id=759, person=Person{name='Fina', surname='Potebury', email='fpoteburyl2@eepurl.com', ip='24.163.163.111'}, car=Car{color='#48ac4f', vin='3GYFNAE37ES595203', company='Acura', model='Integra', model_year='1996', price=24435.25}, location=Location{country='Germany', city='Osnabrück'}, date=2020-04-18}
Purchase{id=862, person=Person{name='Neile', surname='Dutson', email='ndutsonnx@miibeian.gov.cn', ip='177.91.129.60'}, car=Car{color='#193f69', vin='1G4HC5EMXAU370347', company='Acura', model='ZDX', model_year='2010', price=74967.68}, location=Location{country='Poland', city='Śniadowo'}, date=2020-05-07}
Purchase{id=957, person=Person{name='Xylina', surname='Rawlings', email='xrawlingsqk@prweb.com', ip='242.229.116.229'}, car=Car{color='#f8c55b', vin='SCBBP93WX9C557182', company='Acura', model='CL', model_year='2003', price=82961.35}, location=Location{country='Germany', city='Bochum'}, date=2020-04-24}
