Purchase{id=4, person=Person{name='Bobinette', surname='Silversmid', email='bsilversmid3@va.gov', ip='235.128.129.91'}, car=Car{color='#430bbb', vin='3C4PDDDG8ET165757', company='Audi', model='A6', model_year='2002', price=14233.71}, location=Location{country='Poland', city='Parchowo'}, date=2020-02-04}
Purchase{id=110, person=Person{name='Gwenny', surname='Arnowitz', email='garnowitz31@comsenz.com', ip='94.93.89.128'}, car=Car{color='#71b30f', vin='4USBT53474L369108', company='Audi', model='A8', model_year='2000', price=68877.19}, location=Location{country='Poland', city='Rokitno'}, date=2020-05-25}
Purchase{id=129, person=Person{name='Bink', surname='Duff', email='bduff3k@vkontakte.ru', ip='105.202.162.56'}, car=Car{color='#63bd24', vin='19VDE3F33EE165652', company='Audi', model='A3', model_year='2008', price=2217.07}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-25}
Purchase{id=152, person=Person{name='Bink', surname='Ballintime', email='bballintime47@hexun.com', ip='109.195.112.171'}, car=Car{color='#24f8ea', vin='3D7TT2CT2BG762448', company='Audi', model='A3', model_year='2008', price=59198.28}, location=Location{country='Czech Republic', city='Police nad Metují'}, date=2020-12-05}
Purchase{id=166, person=Person{name='Moina', surname='Fernando', email='mfernando4l@exblog.jp', ip='189.173.118.23'}, car=Car{color='#dd40f8', vin='YV1672MC1BJ123741', company='Audi', model='Coupe GT', model_year='1987', price=19044.06}, location=Location{country='Czech Republic', city='Dobšice'}, date=2020-03-14}
Purchase{id=192, person=Person{name='Stavro', surname='Alp', email='salp5b@wikipedia.org', ip='180.207.149.255'}, car=Car{color='#4fed1c', vin='WAURD68DX1A800710', company='Audi', model='A8', model_year='2002', price=14945.66}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-19}
Purchase{id=386, person=Person{name='Sonnnie', surname='Deschelle', email='sdeschelleap@barnesandnoble.com', ip='178.219.85.28'}, car=Car{color='#35f448', vin='1G6DE5EG8A0896249', company='Audi', model='A8', model_year='2008', price=4086.85}, location=Location{country='Czech Republic', city='Ledenice'}, date=2020-09-10}
Purchase{id=406, person=Person{name='Chevy', surname='Hoffmann', email='choffmannb9@prlog.org', ip='80.183.204.164'}, car=Car{color='#9e7cfa', vin='JN1CV6AP3FM036248', company='Audi', model='Q7', model_year='2010', price=4808.26}, location=Location{country='Poland', city='Uniejów'}, date=2020-12-04}
Purchase{id=433, person=Person{name='Daune', surname='Cabera', email='dcaberac0@mozilla.com', ip='116.216.207.221'}, car=Car{color='#1ae811', vin='3D7TP2CT0AG441088', company='Audi', model='S4', model_year='2013', price=92793.05}, location=Location{country='Poland', city='Sarnaki'}, date=2020-05-03}
Purchase{id=448, person=Person{name='Karin', surname='Frankiss', email='kfrankisscf@amazon.de', ip='80.122.120.34'}, car=Car{color='#59cac7', vin='WBA3A5C5XFF165636', company='Audi', model='A3', model_year='2012', price=3754.60}, location=Location{country='Poland', city='Radom'}, date=2020-11-01}
Purchase{id=449, person=Person{name='Trev', surname='Aldus', email='talduscg@joomla.org', ip='192.58.166.48'}, car=Car{color='#0ffe15', vin='WBAPM5C50BE047457', company='Audi', model='A3', model_year='2006', price=52107.28}, location=Location{country='Poland', city='Stoczek'}, date=2020-12-29}
