Purchase{id=26, person=Person{name='Vitia', surname='Wressell', email='vwressellp@joomla.org', ip='83.75.76.69'}, car=Car{color='#fc52a8', vin='5N1AA0NE0EN847693', company='BMW', model='Z4', model_year='2010', price=30372.27}, location=Location{country='Czech Republic', city='Břeclav'}, date=2020-01-07}
Purchase{id=53, person=Person{name='Ronica', surname='Kirtland', email='rkirtland1g@smh.com.au', ip='85.255.41.175'}, car=Car{color='#362699', vin='WA1WMAFE7DD223278', company='BMW', model='1 Series', model_year='2010', price=59998.39}, location=Location{country='Poland', city='Pilchowice'}, date=2020-06-26}
Purchase{id=55, person=Person{name='Carly', surname='Vasnetsov', email='cvasnetsov1i@freewebs.com', ip='103.247.181.255'}, car=Car{color='#67ddc5', vin='WAUSF98E38A270340', company='BMW', model='5 Series', model_year='2000', price=64328.89}, location=Location{country='Germany', city='Hamburg Sankt Pauli'}, date=2020-03-26}
Purchase{id=75, person=Person{name='Harland', surname='Cobello', email='hcobello22@ted.com', ip='240.61.35.39'}, car=Car{color='#acf056', vin='YV440MBK4F1358967', company='BMW', model='X5', model_year='2000', price=48845.79}, location=Location{country='Poland', city='Rokitno'}, date=2020-03-09}
Purchase{id=79, person=Person{name='Krystyna', surname='Ricardet', email='kricardet26@t.co', ip='39.45.161.206'}, car=Car{color='#9ba311', vin='3D7LT2ET7AG992093', company='BMW', model='5 Series', model_year='1997', price=28961.60}, location=Location{country='Czech Republic', city='Chrást'}, date=2020-05-06}
Purchase{id=86, person=Person{name='Deane', surname='Kmieciak', email='dkmieciak2d@purevolume.com', ip='84.176.85.159'}, car=Car{color='#f955cc', vin='WBAVB33576K499107', company='BMW', model='600', model_year='1957', price=72427.80}, location=Location{country='Poland', city='Szczerbice'}, date=2020-01-19}
Purchase{id=97, person=Person{name='Hi', surname='Yeomans', email='hyeomans2o@themeforest.net', ip='37.150.104.58'}, car=Car{color='#9413c9', vin='2C3CA7CW5AH234588', company='BMW', model='8 Series', model_year='1992', price=36491.19}, location=Location{country='Czech Republic', city='Pyšely'}, date=2020-12-05}
Purchase{id=99, person=Person{name='Berny', surname='Rumsby', email='brumsby2q@pen.io', ip='63.72.144.27'}, car=Car{color='#2eb791', vin='WAUNF78P58A259925', company='BMW', model='7 Series', model_year='1995', price=91829.08}, location=Location{country='Poland', city='Pruszcz'}, date=2020-03-13}
Purchase{id=117, person=Person{name='Trever', surname='Coulbeck', email='tcoulbeck38@toplist.cz', ip='165.177.248.84'}, car=Car{color='#cc6e4c', vin='JTDBT4K3XC1339796', company='BMW', model='7 Series', model_year='2009', price=49082.37}, location=Location{country='Czech Republic', city='Holice'}, date=2020-11-23}
Purchase{id=150, person=Person{name='Glendon', surname='Rennolds', email='grennolds45@spotify.com', ip='185.126.21.252'}, car=Car{color='#266be8', vin='WA1MKAFP7AA935589', company='BMW', model='M3', model_year='2012', price=42175.04}, location=Location{country='Germany', city='Neuss'}, date=2020-01-08}
Purchase{id=161, person=Person{name='Keely', surname='Simes', email='ksimes4g@tamu.edu', ip='48.24.70.65'}, car=Car{color='#0f0ab0', vin='1C3BC6EV8AN404051', company='BMW', model='6 Series', model_year='1989', price=96220.95}, location=Location{country='Poland', city='Mrzeżyno'}, date=2020-01-19}
Purchase{id=195, person=Person{name='Perla', surname='Bushell', email='pbushell5e@youku.com', ip='140.253.218.198'}, car=Car{color='#e431b1', vin='5J8TB3H51EL197244', company='BMW', model='545', model_year='2004', price=62614.35}, location=Location{country='Poland', city='Barwałd Górny'}, date=2020-12-24}
Purchase{id=214, person=Person{name='Fionna', surname='Abramow', email='fabramow5x@wordpress.org', ip='251.56.24.25'}, car=Car{color='#0cdd9a', vin='1FTFW1E8XAF166518', company='BMW', model='X5', model_year='2001', price=35279.81}, location=Location{country='Poland', city='Drawsko'}, date=2020-03-29}
Purchase{id=238, person=Person{name='Elita', surname='Faill', email='efaill6l@cornell.edu', ip='141.223.153.71'}, car=Car{color='#b9b455', vin='3GYVKLEF8AG976355', company='BMW', model='3 Series', model_year='2005', price=11549.17}, location=Location{country='Poland', city='Gózd'}, date=2020-03-08}
Purchase{id=245, person=Person{name='Monro', surname='Hatfield', email='mhatfield6s@biblegateway.com', ip='19.20.233.136'}, car=Car{color='#8bf31a', vin='WAUR4AFD2CN824808', company='BMW', model='Z4', model_year='2010', price=91014.28}, location=Location{country='Poland', city='Przasnysz'}, date=2020-04-20}
Purchase{id=269, person=Person{name='Cristie', surname='Jurasek', email='cjurasek7g@google.pl', ip='126.13.177.139'}, car=Car{color='#2456cc', vin='YV1902AH6E1788396', company='BMW', model='3 Series', model_year='1994', price=38870.04}, location=Location{country='Poland', city='Zagórów'}, date=2020-08-09}
Purchase{id=295, person=Person{name='Ollie', surname='Burgisi', email='oburgisi86@va.gov', ip='1.107.118.200'}, car=Car{color='#e9cd43', vin='WAUCFAFR3FA678619', company='BMW', model='Alpina B7', model_year='2007', price=75764.70}, location=Location{country='Poland', city='Kleszczewo'}, date=2020-10-05}
Purchase{id=343, person=Person{name='Doria', surname='De Angelo', email='ddeangelo9i@imageshack.us', ip='188.150.129.226'}, car=Car{color='#0fbe26', vin='SCFHDDAJ5CA177035', company='BMW', model='X5', model_year='2001', price=38978.71}, location=Location{country='Germany', city='Frankfurt am Main'}, date=2020-04-06}
Purchase{id=349, person=Person{name='Anson', surname='Arnaudon', email='aarnaudon9o@over-blog.com', ip='184.197.82.34'}, car=Car{color='#b6c2aa', vin='SCBET9ZA9FC137784', company='BMW', model='M3', model_year='2004', price=3563.02}, location=Location{country='Poland', city='Jaworzyna Śląska'}, date=2020-03-06}
Purchase{id=367, person=Person{name='Yolande', surname='Cosgrove', email='ycosgrovea6@adobe.com', ip='41.41.17.78'}, car=Car{color='#40a84a', vin='2C3CDZAGXFH102853', company='BMW', model='530', model_year='2003', price=36923.42}, location=Location{country='Poland', city='Popielów'}, date=2020-01-08}
Purchase{id=451, person=Person{name='Jazmin', surname='Mapstone', email='jmapstoneci@clickbank.net', ip='28.200.22.52'}, car=Car{color='#84d91a', vin='WAUEFBFL3BN474433', company='BMW', model='5 Series', model_year='2003', price=6372.82}, location=Location{country='Poland', city='Psary'}, date=2020-08-15}
Purchase{id=478, person=Person{name='Ada', surname='Hadeke', email='ahadeked9@mashable.com', ip='92.201.230.105'}, car=Car{color='#eac55c', vin='1N4AA5AP7CC491489', company='BMW', model='M5', model_year='2006', price=38152.91}, location=Location{country='Czech Republic', city='Chlumčany'}, date=2020-03-24}
Purchase{id=522, person=Person{name='Regine', surname='Slader', email='rsladereh@vkontakte.ru', ip='68.216.205.116'}, car=Car{color='#1375fd', vin='2T1KE4EE8BC652217', company='BMW', model='330', model_year='2006', price=3362.42}, location=Location{country='Poland', city='Prażmów'}, date=2020-12-13}
Purchase{id=539, person=Person{name='Archie', surname='Bloys', email='abloysey@fda.gov', ip='95.124.129.182'}, car=Car{color='#714e59', vin='1G4CW54K314951206', company='BMW', model='530', model_year='2007', price=67131.57}, location=Location{country='Czech Republic', city='Horní Cerekev'}, date=2020-12-19}
Purchase{id=601, person=Person{name='Erasmus', surname='Peschke', email='epeschkego@google.es', ip='29.143.142.85'}, car=Car{color='#4636e3', vin='WAUWFBFLXBA009224', company='BMW', model='M5', model_year='2001', price=78384.64}, location=Location{country='Poland', city='Michałów-Reginów'}, date=2020-09-19}
Purchase{id=630, person=Person{name='Mellicent', surname='Sergent', email='msergenthh@howstuffworks.com', ip='176.43.113.212'}, car=Car{color='#46ac4e', vin='1ZVBP8JSXB5330203', company='BMW', model='760', model_year='2006', price=69781.42}, location=Location{country='Czech Republic', city='Černovice'}, date=2020-07-11}
Purchase{id=633, person=Person{name='Sam', surname='Rickeard', email='srickeardhk@adobe.com', ip='111.6.178.72'}, car=Car{color='#b7d7fa', vin='WAUHF68P86A769514', company='BMW', model='6 Series', model_year='2005', price=41179.80}, location=Location{country='Poland', city='Żabieniec'}, date=2020-11-23}
Purchase{id=636, person=Person{name='Tommy', surname='Learmount', email='tlearmounthn@hud.gov', ip='181.185.37.107'}, car=Car{color='#ddd371', vin='3D4PG9FG3BT856677', company='BMW', model='M', model_year='2000', price=70022.09}, location=Location{country='Poland', city='Łobez'}, date=2020-07-26}
Purchase{id=657, person=Person{name='Bay', surname='Roantree', email='broantreei8@desdev.cn', ip='42.123.237.151'}, car=Car{color='#80008c', vin='19UUA9F53CA939570', company='BMW', model='760', model_year='2006', price=59059.35}, location=Location{country='Poland', city='Rogóźno'}, date=2020-01-24}
Purchase{id=658, person=Person{name='Jamie', surname='MacMoyer', email='jmacmoyeri9@livejournal.com', ip='217.57.10.46'}, car=Car{color='#2879b8', vin='WAUJC68E72A129314', company='BMW', model='Alpina B7', model_year='2008', price=28596.30}, location=Location{country='Poland', city='Frydrychowice'}, date=2020-04-02}
Purchase{id=682, person=Person{name='Sascha', surname='Wringe', email='swringeix@cnet.com', ip='146.203.31.212'}, car=Car{color='#b4d5ce', vin='WBAVT13556A226612', company='BMW', model='M3', model_year='2011', price=79238.32}, location=Location{country='Poland', city='Trzciana'}, date=2020-11-04}
Purchase{id=734, person=Person{name='Chrysa', surname='Colman', email='ccolmankd@issuu.com', ip='210.68.171.160'}, car=Car{color='#c023b2', vin='JN1CV6EK0BM778471', company='BMW', model='X5 M', model_year='2010', price=74527.00}, location=Location{country='Poland', city='Cisek'}, date=2020-04-29}
Purchase{id=735, person=Person{name='Perl', surname='Caiger', email='pcaigerke@wordpress.com', ip='38.245.198.204'}, car=Car{color='#f81757', vin='1C3BCBFG5CN025486', company='BMW', model='X6', model_year='2009', price=64508.20}, location=Location{country='Poland', city='Leśnica'}, date=2020-10-27}
Purchase{id=754, person=Person{name='Marshall', surname='Adamiec', email='madamieckx@flickr.com', ip='215.141.7.211'}, car=Car{color='#0d7282', vin='SCBLE37G45C648386', company='BMW', model='X5', model_year='2012', price=33217.66}, location=Location{country='Poland', city='Brzozów'}, date=2020-05-10}
Purchase{id=780, person=Person{name='Vivi', surname='Keough', email='vkeoughln@merriam-webster.com', ip='56.73.252.43'}, car=Car{color='#22b80c', vin='3VWKX7AJ2AM850860', company='BMW', model='M3', model_year='2005', price=28318.62}, location=Location{country='Poland', city='Świdwin'}, date=2020-09-28}
Purchase{id=843, person=Person{name='Jared', surname='Hudspith', email='jhudspithne@cocolog-nifty.com', ip='206.127.159.23'}, car=Car{color='#925c85', vin='TRUTX28N321128904', company='BMW', model='7 Series', model_year='1993', price=29836.57}, location=Location{country='Poland', city='Goczałkowice Zdrój'}, date=2020-11-19}
Purchase{id=894, person=Person{name='Vickie', surname='Muffitt', email='vmuffittot@sfgate.com', ip='57.45.46.106'}, car=Car{color='#41cbb0', vin='KNALN4D74F5578835', company='BMW', model='5 Series', model_year='2004', price=21662.12}, location=Location{country='Poland', city='Piekielnik'}, date=2020-12-15}
Purchase{id=902, person=Person{name='Klement', surname='Probetts', email='kprobettsp1@xing.com', ip='180.234.99.175'}, car=Car{color='#41826a', vin='1N6AA0CA1AN804279', company='BMW', model='X6', model_year='2013', price=76733.87}, location=Location{country='Czech Republic', city='Bystřany'}, date=2020-02-29}
Purchase{id=954, person=Person{name='Heath', surname='Smallthwaite', email='hsmallthwaiteqh@last.fm', ip='70.198.40.140'}, car=Car{color='#59f2b9', vin='1C3CDFBB0FD093143', company='BMW', model='M3', model_year='1997', price=78597.13}, location=Location{country='Poland', city='Kraczkowa'}, date=2020-03-14}
Purchase{id=961, person=Person{name='Carola', surname='Darte', email='cdarteqo@bluehost.com', ip='136.246.236.170'}, car=Car{color='#0020e6', vin='1FTMF1C84AK055254', company='BMW', model='M3', model_year='1998', price=24263.80}, location=Location{country='Czech Republic', city='Batelov'}, date=2020-04-17}
