Purchase{id=68, person=Person{name='Orsa', surname='Wilfling', email='owilfling1v@diigo.com', ip='53.136.57.107'}, car=Car{color='#0a2fad', vin='1D4RD4GG5BC716516', company='Buick', model='LeSabre', model_year='1985', price=7542.19}, location=Location{country='Czech Republic', city='Orlová'}, date=2020-05-15}
Purchase{id=91, person=Person{name='Charissa', surname='Berr', email='cberr2i@foxnews.com', ip='138.86.215.72'}, car=Car{color='#23aea8', vin='2G4WF551241593499', company='Buick', model='Regal', model_year='1986', price=82619.40}, location=Location{country='Czech Republic', city='Nýřany'}, date=2020-12-11}
Purchase{id=138, person=Person{name='Gerhardt', surname='Yeardsley', email='gyeardsley3t@slideshare.net', ip='120.48.41.18'}, car=Car{color='#da4934', vin='WAUDT48H84K166588', company='Buick', model='Coachbuilder', model_year='1992', price=56616.47}, location=Location{country='Czech Republic', city='Bechyně'}, date=2020-07-04}
Purchase{id=140, person=Person{name='Daniele', surname='Knapton', email='dknapton3v@diigo.com', ip='22.71.189.41'}, car=Car{color='#bb37ce', vin='1GYFK66858R431973', company='Buick', model='Coachbuilder', model_year='1990', price=98127.28}, location=Location{country='Germany', city='Essen'}, date=2020-03-01}
Purchase{id=156, person=Person{name='Corine', surname='Donhardt', email='cdonhardt4b@skype.com', ip='86.232.98.59'}, car=Car{color='#14731e', vin='JH4DC53043C993859', company='Buick', model='Century', model_year='2004', price=22140.55}, location=Location{country='Poland', city='Milówka'}, date=2020-06-25}
Purchase{id=208, person=Person{name='Caleb', surname='Galfour', email='cgalfour5r@sina.com.cn', ip='131.38.165.188'}, car=Car{color='#afeed2', vin='WAUVF98K09A488580', company='Buick', model='Skyhawk', model_year='1988', price=13632.45}, location=Location{country='Czech Republic', city='Měcholupy'}, date=2020-04-19}
Purchase{id=260, person=Person{name='Sasha', surname='Suart', email='ssuart77@dailymotion.com', ip='206.84.76.242'}, car=Car{color='#87c7ec', vin='3C3CFFJHXET569181', company='Buick', model='Roadmaster', model_year='1996', price=59545.91}, location=Location{country='Poland', city='Stanisław Górny'}, date=2020-07-06}
Purchase{id=261, person=Person{name='Shantee', surname='Borgnet', email='sborgnet78@noaa.gov', ip='251.239.251.181'}, car=Car{color='#3aac40', vin='4T3BK3BB6FU541674', company='Buick', model='Park Avenue', model_year='2003', price=62451.10}, location=Location{country='Poland', city='Kaczory'}, date=2020-11-14}
Purchase{id=289, person=Person{name='Marjy', surname='Fullun', email='mfullun80@webnode.com', ip='155.97.202.23'}, car=Car{color='#f6fbdd', vin='5N1AR1NBXBC148017', company='Buick', model='Roadmaster', model_year='1993', price=42570.05}, location=Location{country='Poland', city='Zagórnik'}, date=2020-07-31}
Purchase{id=335, person=Person{name='Michaelina', surname='Mollnar', email='mmollnar9a@lulu.com', ip='240.232.229.238'}, car=Car{color='#bd1932', vin='SCFHDDAJ9BA686334', company='Buick', model='Riviera', model_year='1979', price=46455.29}, location=Location{country='Czech Republic', city='Dolní Studénky'}, date=2020-03-15}
Purchase{id=372, person=Person{name='Janella', surname='McLaughlin', email='jmclaughlinab@wikimedia.org', ip='201.30.12.64'}, car=Car{color='#61c2be', vin='JH4DC548X5S673698', company='Buick', model='LeSabre', model_year='1987', price=15930.60}, location=Location{country='Czech Republic', city='Dolní Rychnov'}, date=2020-11-14}
Purchase{id=439, person=Person{name='Catherine', surname='Heyns', email='cheynsc6@virginia.edu', ip='176.62.217.117'}, car=Car{color='#9ffec6', vin='5UXZV8C51CL417188', company='Buick', model='Park Avenue', model_year='1999', price=19287.90}, location=Location{country='Poland', city='Chodzież'}, date=2020-04-23}
Purchase{id=469, person=Person{name='Austine', surname='Goreway', email='agorewayd0@bing.com', ip='3.84.90.236'}, car=Car{color='#614925', vin='SALAB2V64FA125196', company='Buick', model='LaCrosse', model_year='2012', price=91641.43}, location=Location{country='Czech Republic', city='Vacenovice'}, date=2020-05-18}
Purchase{id=503, person=Person{name='Cecily', surname='Muge', email='cmugedy@cbsnews.com', ip='146.221.209.213'}, car=Car{color='#b33cea', vin='3VW467AT6CM351642', company='Buick', model='Skylark', model_year='1985', price=96346.01}, location=Location{country='Poland', city='Ruda-Huta'}, date=2020-05-06}
