Purchase{id=12, person=Person{name='Brannon', surname='Dexter', email='bdexterb@mozilla.com', ip='242.111.242.135'}, car=Car{color='#1906e0', vin='1G6DS57VX90897709', company='Cadillac', model='Escalade ESV', model_year='2007', price=28270.94}, location=Location{country='Poland', city='Rozwadza'}, date=2020-01-12}
Purchase{id=60, person=Person{name='Ryan', surname='Drane', email='rdrane1n@ucla.edu', ip='113.128.203.179'}, car=Car{color='#6354b6', vin='WBA5M6C5XED138968', company='Cadillac', model='CTS', model_year='2011', price=25636.62}, location=Location{country='Poland', city='Szydłowo'}, date=2020-05-26}
Purchase{id=70, person=Person{name='Linn', surname='Louche', email='llouche1x@harvard.edu', ip='241.31.139.134'}, car=Car{color='#b56ebc', vin='1B3CB2HA2AD242557', company='Cadillac', model='CTS-V', model_year='2009', price=33447.26}, location=Location{country='Poland', city='Miejska Górka'}, date=2020-02-22}
Purchase{id=90, person=Person{name='Anita', surname='Gibbin', email='agibbin2h@lulu.com', ip='55.240.206.240'}, car=Car{color='#4e4639', vin='3MZBM1L72EM306808', company='Cadillac', model='CTS', model_year='2004', price=84373.48}, location=Location{country='Poland', city='Łopuszna'}, date=2020-06-01}
Purchase{id=182, person=Person{name='Selia', surname='Delf', email='sdelf51@wordpress.org', ip='239.231.27.205'}, car=Car{color='#926eff', vin='WAUGU44D43N075201', company='Cadillac', model='Eldorado', model_year='1995', price=52003.13}, location=Location{country='Poland', city='Wilków'}, date=2020-02-04}
Purchase{id=204, person=Person{name='Kassey', surname='Jehu', email='kjehu5n@squarespace.com', ip='19.45.135.14'}, car=Car{color='#148cb1', vin='WVGBF7A97AD498149', company='Cadillac', model='CTS-V', model_year='2007', price=30692.81}, location=Location{country='Poland', city='Praga Północ'}, date=2020-02-18}
Purchase{id=230, person=Person{name='Isidoro', surname='Stockney', email='istockney6d@baidu.com', ip='71.77.214.117'}, car=Car{color='#1f2a96', vin='3D73Y4HL5AG181322', company='Cadillac', model='Escalade EXT', model_year='2004', price=81035.43}, location=Location{country='Poland', city='Małkinia Górna'}, date=2020-02-21}
Purchase{id=296, person=Person{name='Drugi', surname='Scurrey', email='dscurrey87@opera.com', ip='138.46.92.46'}, car=Car{color='#f30ea4', vin='1GD01XEG5FZ282339', company='Cadillac', model='SRX', model_year='2009', price=28145.95}, location=Location{country='Poland', city='Jonkowo'}, date=2020-01-19}
Purchase{id=332, person=Person{name='Chrysler', surname='Winchcombe', email='cwinchcombe97@jigsy.com', ip='157.252.199.163'}, car=Car{color='#2eb982', vin='WA1WMBFE9DD812581', company='Cadillac', model='Escalade', model_year='2008', price=17720.70}, location=Location{country='Denmark', city='København'}, date=2020-03-31}
Purchase{id=453, person=Person{name='Erastus', surname='Charpin', email='echarpinck@cisco.com', ip='19.226.186.181'}, car=Car{color='#5eb88a', vin='1G6KD57Y06U694523', company='Cadillac', model='Escalade EXT', model_year='2003', price=97983.31}, location=Location{country='Germany', city='Köln'}, date=2020-01-25}
Purchase{id=573, person=Person{name='Charin', surname='Gotch', email='cgotchfw@topsy.com', ip='31.126.90.122'}, car=Car{color='#ac04c6', vin='WVWED7AJ9DW454308', company='Cadillac', model='Escalade', model_year='2006', price=59530.40}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-12-08}
