Purchase{id=1, person=Person{name='Marsh', surname='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, location=Location{country='Czech Republic', city='Bořetice'}, date=2020-09-03}
Purchase{id=6, person=Person{name='Bobbi', surname='Sulland', email='bsulland5@barnesandnoble.com', ip='94.203.49.152'}, car=Car{color='#3c1515', vin='SALAB2D42BA929152', company='Chevrolet', model='Silverado 2500', model_year='2010', price=35588.74}, location=Location{country='Poland', city='Bielawa'}, date=2020-03-27}
Purchase{id=10, person=Person{name='Lynna', surname='Jossel', email='ljossel9@archive.org', ip='68.72.88.141'}, car=Car{color='#0c6d6a', vin='1N6AA0CH9DN190180', company='Chevrolet', model='Malibu', model_year='2001', price=80118.18}, location=Location{country='Czech Republic', city='Hvozdná'}, date=2020-07-14}
Purchase{id=14, person=Person{name='Giulio', surname='Ing', email='gingd@baidu.com', ip='107.44.207.136'}, car=Car{color='#db7c98', vin='WA1AGBFE4CD164891', company='Chevrolet', model='Suburban 2500', model_year='2003', price=88935.98}, location=Location{country='Poland', city='Żarki-Letnisko'}, date=2020-03-27}
Purchase{id=15, person=Person{name='Lela', surname='Masson', email='lmassone@lycos.com', ip='62.176.227.100'}, car=Car{color='#805251', vin='5N1AT2ML7FC391968', company='Chevrolet', model='Express 1500', model_year='2007', price=19212.71}, location=Location{country='Poland', city='Wysoka'}, date=2020-05-09}
Purchase{id=21, person=Person{name='Angy', surname='Lorrie', email='alorriek@hc360.com', ip='185.136.110.75'}, car=Car{color='#3af52c', vin='3FAHP0DCXAR054903', company='Chevrolet', model='Equinox', model_year='2006', price=52849.21}, location=Location{country='Poland', city='Damnica'}, date=2020-01-22}
Purchase{id=24, person=Person{name='Rowney', surname='Selwyn', email='rselwynn@arizona.edu', ip='209.20.40.139'}, car=Car{color='#eb78a0', vin='TRUDD38J281626648', company='Chevrolet', model='Malibu', model_year='2002', price=9224.59}, location=Location{country='Poland', city='Wólka Pełkińska'}, date=2020-11-01}
Purchase{id=28, person=Person{name='Adi', surname='Huggon', email='ahuggonr@dion.ne.jp', ip='127.124.60.202'}, car=Car{color='#81bbba', vin='2T2BK1BA9EC555360', company='Chevrolet', model='G-Series G10', model_year='1995', price=73435.81}, location=Location{country='Poland', city='Ryczów'}, date=2020-11-20}
Purchase{id=43, person=Person{name='Juana', surname='Longlands', email='jlonglands16@istockphoto.com', ip='250.100.0.186'}, car=Car{color='#5a4ec0', vin='2C3CCABG9EH016824', company='Chevrolet', model='Express 2500', model_year='1996', price=37242.60}, location=Location{country='Czech Republic', city='Žulová'}, date=2020-01-15}
Purchase{id=51, person=Person{name='Nessi', surname='Tripony', email='ntripony1e@yellowbook.com', ip='214.74.7.152'}, car=Car{color='#53c426', vin='1YVHZ8BA6A5767573', company='Chevrolet', model='Impala', model_year='2012', price=80557.94}, location=Location{country='Poland', city='Lubomierz'}, date=2020-12-30}
Purchase{id=130, person=Person{name='Chrissy', surname='Reppaport', email='creppaport3l@eventbrite.com', ip='248.190.235.230'}, car=Car{color='#b7cc8d', vin='5UXFG2C53BL477935', company='Chevrolet', model='Tahoe', model_year='2011', price=48509.46}, location=Location{country='Poland', city='Babiak'}, date=2020-07-28}
Purchase{id=136, person=Person{name='Seamus', surname='Biggs', email='sbiggs3r@mashable.com', ip='58.40.39.44'}, car=Car{color='#58468d', vin='1G6AB5RX5E0918865', company='Chevrolet', model='Sportvan G20', model_year='1994', price=46420.20}, location=Location{country='Czech Republic', city='Horní Jiřetín'}, date=2020-11-21}
Purchase{id=143, person=Person{name='Amelia', surname='Dyte', email='adyte3y@wikipedia.org', ip='204.250.32.207'}, car=Car{color='#787778', vin='WBAGN83594D174618', company='Chevrolet', model='Cobalt SS', model_year='2009', price=68941.55}, location=Location{country='Czech Republic', city='Horní Bečva'}, date=2020-09-19}
Purchase{id=148, person=Person{name='Kippy', surname='Baison', email='kbaison43@theguardian.com', ip='152.164.125.93'}, car=Car{color='#07cdbf', vin='WAUDGAFL8DA387642', company='Chevrolet', model='TrailBlazer', model_year='2006', price=25082.65}, location=Location{country='Poland', city='Lachowice'}, date=2020-10-04}
Purchase{id=167, person=Person{name='Carling', surname='Laxon', email='claxon4m@yolasite.com', ip='101.10.168.108'}, car=Car{color='#89030e', vin='3D7TP2CTXBG248870', company='Chevrolet', model='Silverado 2500', model_year='2012', price=71122.19}, location=Location{country='Poland', city='Bolszewo'}, date=2020-10-23}
Purchase{id=168, person=Person{name='Noni', surname='Gilfillan', email='ngilfillan4n@wikipedia.org', ip='186.166.113.117'}, car=Car{color='#54040b', vin='1GYS3JEF0ER386466', company='Chevrolet', model='3500', model_year='1996', price=80037.02}, location=Location{country='Poland', city='Pułtusk'}, date=2020-03-05}
Purchase{id=169, person=Person{name='Phillip', surname='Rahill', email='prahill4o@boston.com', ip='76.123.91.72'}, car=Car{color='#2b2e8e', vin='SCBGT3ZAXFC959466', company='Chevrolet', model='Metro', model_year='1998', price=83510.21}, location=Location{country='Czech Republic', city='Radiměř'}, date=2020-04-28}
Purchase{id=173, person=Person{name='Jerrold', surname='Charlwood', email='jcharlwood4s@imageshack.us', ip='223.31.133.65'}, car=Car{color='#5c76f8', vin='WBAKB4C59CC223882', company='Chevrolet', model='Colorado', model_year='2004', price=33419.80}, location=Location{country='Poland', city='Trzebinia'}, date=2020-01-13}
Purchase{id=194, person=Person{name='Noelle', surname='Wealleans', email='nwealleans5d@nyu.edu', ip='139.67.205.67'}, car=Car{color='#f2c037', vin='JTHBE1D25E5400964', company='Chevrolet', model='Suburban 2500', model_year='2002', price=63010.50}, location=Location{country='Czech Republic', city='Třemošnice'}, date=2020-03-11}
Purchase{id=221, person=Person{name='Alfy', surname='Hardway', email='ahardway64@sun.com', ip='143.233.204.250'}, car=Car{color='#835653', vin='WBADS334X2G744269', company='Chevrolet', model='Lumina', model_year='1997', price=13464.81}, location=Location{country='Poland', city='Stoczek'}, date=2020-11-12}
Purchase{id=223, person=Person{name='Gennifer', surname='Zamorrano', email='gzamorrano66@goodreads.com', ip='156.200.202.107'}, car=Car{color='#9a00da', vin='5GAKVDKD2DJ102838', company='Chevrolet', model='HHR', model_year='2009', price=51293.94}, location=Location{country='Poland', city='Chociwel'}, date=2020-09-15}
Purchase{id=225, person=Person{name='Kerri', surname='Van Dale', email='kvandale68@seattletimes.com', ip='211.39.22.253'}, car=Car{color='#6ffb45', vin='1ZVBP8AMXD5066288', company='Chevrolet', model='Sportvan G30', model_year='1995', price=94826.17}, location=Location{country='Poland', city='Podgórzyn'}, date=2020-05-01}
Purchase{id=249, person=Person{name='Jolynn', surname='Idney', email='jidney6w@amazon.com', ip='199.37.238.207'}, car=Car{color='#b13116', vin='4USBT33584L352055', company='Chevrolet', model='SSR', model_year='2005', price=47507.31}, location=Location{country='Poland', city='Krzyżowice'}, date=2020-03-14}
Purchase{id=274, person=Person{name='Glenn', surname='Tulleth', email='gtulleth7l@businesswire.com', ip='167.109.68.113'}, car=Car{color='#e53bed', vin='5UXFE43527L092388', company='Chevrolet', model='Monte Carlo', model_year='1999', price=66959.46}, location=Location{country='Czech Republic', city='Malé Svatoňovice'}, date=2020-03-05}
Purchase{id=279, person=Person{name='Hendrika', surname='Conor', email='hconor7q@tiny.cc', ip='226.249.244.229'}, car=Car{color='#96f25a', vin='1C4NJCBA6FD625241', company='Chevrolet', model='Express 1500', model_year='2008', price=21450.41}, location=Location{country='Poland', city='Wiązownica'}, date=2020-04-03}
Purchase{id=302, person=Person{name='Kaitlin', surname='Ruvel', email='kruvel8d@simplemachines.org', ip='127.164.161.255'}, car=Car{color='#3be382', vin='1N4AA5APXAC070850', company='Chevrolet', model='Express', model_year='2011', price=74983.39}, location=Location{country='Czech Republic', city='Jarošov nad Nežárkou'}, date=2020-02-01}
Purchase{id=313, person=Person{name='Hollyanne', surname='Ortas', email='hortas8o@cbc.ca', ip='117.118.99.201'}, car=Car{color='#007fd1', vin='1FTEW1CM6CK966710', company='Chevrolet', model='Caprice', model_year='1996', price=14814.13}, location=Location{country='Poland', city='Bęczarka'}, date=2020-11-09}
Purchase{id=316, person=Person{name='Tally', surname='Creenan', email='tcreenan8r@admin.ch', ip='134.149.232.31'}, car=Car{color='#acc81d', vin='5UMBT93516L329708', company='Chevrolet', model='1500', model_year='1998', price=50346.10}, location=Location{country='Czech Republic', city='Mladá Boleslav'}, date=2020-12-16}
Purchase{id=323, person=Person{name='Salomo', surname='Mackinder', email='smackinder8y@infoseek.co.jp', ip='255.230.174.186'}, car=Car{color='#449ac9', vin='5J6TF3H59FL278149', company='Chevrolet', model='Venture', model_year='1999', price=61806.78}, location=Location{country='Poland', city='Dziewin'}, date=2020-03-04}
Purchase{id=347, person=Person{name='Dotty', surname='Cheltnam', email='dcheltnam9m@npr.org', ip='102.181.3.193'}, car=Car{color='#04f824', vin='WBA4A7C55FD680278', company='Chevrolet', model='Suburban 2500', model_year='1996', price=47863.67}, location=Location{country='Czech Republic', city='Moravský Beroun'}, date=2020-07-25}
Purchase{id=366, person=Person{name='Harmonie', surname='Castle', email='hcastlea5@yellowpages.com', ip='167.68.50.20'}, car=Car{color='#a31070', vin='1GYFC13279R074796', company='Chevrolet', model='Cavalier', model_year='2002', price=68453.30}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-01-03}
Purchase{id=368, person=Person{name='Darda', surname='Lanfear', email='dlanfeara7@ft.com', ip='142.173.37.70'}, car=Car{color='#ee138b', vin='1G6KE57Y04U346618', company='Chevrolet', model='Express 3500', model_year='2010', price=33200.38}, location=Location{country='Poland', city='Złotniki'}, date=2020-02-08}
Purchase{id=377, person=Person{name='Ashley', surname='Earlam', email='aearlamag@pen.io', ip='154.210.76.235'}, car=Car{color='#fc205c', vin='WAUHF78P68A423342', company='Chevrolet', model='Silverado 2500', model_year='2002', price=84876.00}, location=Location{country='Poland', city='Raszków'}, date=2020-02-19}
Purchase{id=388, person=Person{name='Mia', surname='Lanchberry', email='mlanchberryar@ask.com', ip='250.23.107.131'}, car=Car{color='#f99f7b', vin='1N4AL3AP7EC400058', company='Chevrolet', model='Caprice Classic', model_year='1993', price=73905.56}, location=Location{country='Poland', city='Stepnica'}, date=2020-06-29}
Purchase{id=401, person=Person{name='Christoper', surname='Challenor', email='cchallenorb4@google.com.hk', ip='224.9.236.118'}, car=Car{color='#fea3cf', vin='WAUAF78E06A817688', company='Chevrolet', model='Corvette', model_year='1955', price=66243.08}, location=Location{country='Poland', city='Budzów'}, date=2020-10-14}
Purchase{id=404, person=Person{name='Aeriela', surname='Jolliss', email='ajollissb7@slashdot.org', ip='62.217.117.178'}, car=Car{color='#28d4e1', vin='1FMJK1F57BE843117', company='Chevrolet', model='Avalanche 1500', model_year='2004', price=48710.40}, location=Location{country='Poland', city='Łukowa'}, date=2020-07-31}
Purchase{id=412, person=Person{name='Ally', surname='Burnes', email='aburnesbf@youku.com', ip='169.133.18.14'}, car=Car{color='#ebc8fa', vin='3VWKP7AJ4EM226869', company='Chevrolet', model='Corvette', model_year='1963', price=50694.76}, location=Location{country='Poland', city='Repki'}, date=2020-08-28}
Purchase{id=457, person=Person{name='Lindsy', surname='Labet', email='llabetco@artisteer.com', ip='6.65.13.204'}, car=Car{color='#8ba388', vin='JM3KE2BE8F0512779', company='Chevrolet', model='Express 2500', model_year='2007', price=45482.16}, location=Location{country='Poland', city='Rajsko'}, date=2020-11-03}
Purchase{id=458, person=Person{name='Thaxter', surname='Steptoe', email='tsteptoecp@artisteer.com', ip='28.145.58.105'}, car=Car{color='#c0b967', vin='WBSBR934X6P393547', company='Chevrolet', model='S10', model_year='2003', price=72424.96}, location=Location{country='Poland', city='Miechów Charsznica'}, date=2020-01-27}
Purchase{id=483, person=Person{name='Beale', surname='Kynder', email='bkynderde@cmu.edu', ip='85.61.28.12'}, car=Car{color='#0ccaeb', vin='3LN6L2LUXDR081778', company='Chevrolet', model='HHR', model_year='2009', price=38398.33}, location=Location{country='Czech Republic', city='Karlovy Vary'}, date=2020-06-11}
Purchase{id=508, person=Person{name='Ewen', surname='Tassel', email='etassele3@upenn.edu', ip='144.167.100.7'}, car=Car{color='#d9d24b', vin='JH4DB75621S337288', company='Chevrolet', model='Corvette', model_year='1987', price=12596.16}, location=Location{country='Poland', city='Obryte'}, date=2020-10-26}
Purchase{id=511, person=Person{name='Tobias', surname='Learned', email='tlearnede6@howstuffworks.com', ip='235.31.99.104'}, car=Car{color='#616fdb', vin='WBA3A5C56FF332929', company='Chevrolet', model='Suburban 1500', model_year='2011', price=65723.19}, location=Location{country='Germany', city='Berlin'}, date=2020-03-18}
Purchase{id=514, person=Person{name='Margret', surname='Moxstead', email='mmoxsteade9@dagondesign.com', ip='85.186.71.79'}, car=Car{color='#3f7706', vin='1G6D25ED2B0888230', company='Chevrolet', model='2500', model_year='1995', price=10626.82}, location=Location{country='Poland', city='Pyskowice'}, date=2020-05-05}
Purchase{id=515, person=Person{name='Keslie', surname='MacHoste', email='kmachosteea@skype.com', ip='57.142.38.164'}, car=Car{color='#5a21ad', vin='1G4HR54K65U620428', company='Chevrolet', model='G-Series G10', model_year='1993', price=89302.75}, location=Location{country='Poland', city='Krzyżanowice'}, date=2020-04-13}
Purchase{id=556, person=Person{name='Pam', surname='O Mullen', email='pomullenff@forbes.com', ip='155.132.250.101'}, car=Car{color='#d4a7c5', vin='SALFP2BN7AH202646', company='Chevrolet', model='Express 3500', model_year='2003', price=68251.53}, location=Location{country='Germany', city='München'}, date=2020-11-30}
Purchase{id=583, person=Person{name='Jasun', surname='Bonifazio', email='jbonifaziog6@sphinn.com', ip='146.65.47.44'}, car=Car{color='#db706c', vin='KL4CJFSB1FB385085', company='Chevrolet', model='Sportvan G30', model_year='1995', price=68095.63}, location=Location{country='Czech Republic', city='Studená'}, date=2020-12-13}
Purchase{id=591, person=Person{name='Kristina', surname='Issard', email='kissardge@desdev.cn', ip='80.111.98.192'}, car=Car{color='#4342eb', vin='3LN6L2G92DR496597', company='Chevrolet', model='Silverado 2500', model_year='2003', price=72526.32}, location=Location{country='Poland', city='Bujaków'}, date=2020-12-13}
Purchase{id=594, person=Person{name='Thorndike', surname='Trime', email='ttrimegh@360.cn', ip='113.224.77.1'}, car=Car{color='#c15345', vin='3D73M3CL6AG095899', company='Chevrolet', model='HHR', model_year='2008', price=5298.14}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-10-31}
