Purchase{id=18, person=Person{name='Kissee', surname='Paull', email='kpaullh@blogs.com', ip='226.237.22.103'}, car=Car{color='#9da9d2', vin='WA1LFAFP9CA893316', company='Chrysler', model='300M', model_year='2003', price=63058.40}, location=Location{country='Poland', city='Niedzica'}, date=2020-10-26}
Purchase{id=83, person=Person{name='Alethea', surname='Greensted', email='agreensted2a@blogspot.com', ip='207.120.225.241'}, car=Car{color='#42b5c5', vin='WA1CYBFE6AD346143', company='Chrysler', model='Concorde', model_year='2001', price=37644.77}, location=Location{country='Poland', city='Łysomice'}, date=2020-08-31}
Purchase{id=96, person=Person{name='Ali', surname='Chang', email='achang2n@archive.org', ip='30.226.219.224'}, car=Car{color='#b8342f', vin='3N1CE2CPXFL569911', company='Chrysler', model='PT Cruiser', model_year='2007', price=15721.87}, location=Location{country='Poland', city='Zielonka'}, date=2020-01-03}
Purchase{id=132, person=Person{name='Elna', surname='Matyukon', email='ematyukon3n@tmall.com', ip='70.245.48.64'}, car=Car{color='#1922c4', vin='1GKS1AEC8FR177192', company='Chrysler', model='New Yorker', model_year='1996', price=639.91}, location=Location{country='Czech Republic', city='Bořitov'}, date=2020-06-17}
Purchase{id=147, person=Person{name='Taddeusz', surname='Abberley', email='tabberley42@so-net.ne.jp', ip='96.32.64.77'}, car=Car{color='#57728c', vin='WAUSH98E26A653886', company='Chrysler', model='Concorde', model_year='2001', price=6938.73}, location=Location{country='Poland', city='Malbork'}, date=2020-06-04}
Purchase{id=226, person=Person{name='Aundrea', surname='Bail', email='abail69@guardian.co.uk', ip='192.77.158.95'}, car=Car{color='#c6711e', vin='SALVP2BG3FH478858', company='Chrysler', model='PT Cruiser', model_year='2003', price=77632.50}, location=Location{country='Poland', city='Goworowo'}, date=2020-06-20}
Purchase{id=331, person=Person{name='Wayne', surname='Hungerford', email='whungerford96@cafepress.com', ip='233.189.100.255'}, car=Car{color='#e59c76', vin='1G4HP52K44U838472', company='Chrysler', model='Cirrus', model_year='2000', price=52197.41}, location=Location{country='Czech Republic', city='Jablunkov'}, date=2020-03-21}
Purchase{id=365, person=Person{name='Gardy', surname='Smithe', email='gsmithea4@miibeian.gov.cn', ip='122.77.115.51'}, car=Car{color='#b75cb4', vin='3FA6P0SU1DR045806', company='Chrysler', model='PT Cruiser', model_year='2001', price=93248.67}, location=Location{country='Poland', city='Rybno'}, date=2020-07-26}
Purchase{id=408, person=Person{name='Frayda', surname='Asson', email='fassonbb@ibm.com', ip='122.56.109.141'}, car=Car{color='#46d325', vin='5XYKT3A6XFG661316', company='Chrysler', model='300M', model_year='2000', price=38131.86}, location=Location{country='Poland', city='Kętrzyn'}, date=2020-12-27}
Purchase{id=552, person=Person{name='Winnie', surname='Pattisson', email='wpattissonfb@pagesperso-orange.fr', ip='209.52.195.203'}, car=Car{color='#a77a7f', vin='5GAKVCKD2DJ389334', company='Chrysler', model='Concorde', model_year='1995', price=27196.08}, location=Location{country='Czech Republic', city='Nýdek'}, date=2020-05-29}
Purchase{id=571, person=Person{name='Sisely', surname='Burhouse', email='sburhousefu@reference.com', ip='149.89.251.104'}, car=Car{color='#c7a906', vin='WUAW2AFC2FN180690', company='Chrysler', model='Aspen', model_year='2008', price=43763.08}, location=Location{country='Poland', city='Dukla'}, date=2020-01-13}
