Purchase{id=9, person=Person{name='Antonella', surname='Riepl', email='ariepl8@mediafire.com', ip='169.75.223.75'}, car=Car{color='#7c776f', vin='2D4RN5D13AR749927', company='Dodge', model='Neon', model_year='2004', price=18117.79}, location=Location{country='Poland', city='Dobrzyca'}, date=2020-03-11}
Purchase{id=13, person=Person{name='Nester', surname='Caurah', email='ncaurahc@google.fr', ip='70.71.96.24'}, car=Car{color='#4e0fab', vin='2C3EH264592', company='Dodge', model='Charger', model_year='2009', price=75360.35}, location=Location{country='Germany', city='Berlin'}, date=2020-04-03}
Purchase{id=17, person=Person{name='Gerty', surname='Mouse', email='gmouseg@alexa.com', ip='23.47.231.189'}, car=Car{color='#7aef95', vin='3GYT4MEF1DG663367', company='Dodge', model='Ram Van 1500', model_year='1999', price=6048.17}, location=Location{country='Czech Republic', city='Zákupy'}, date=2020-06-13}
Purchase{id=39, person=Person{name='Delores', surname='Wye', email='dwye12@fotki.com', ip='166.186.146.27'}, car=Car{color='#3bcc7f', vin='1YVHZ8BH3B5464829', company='Dodge', model='D150 Club', model_year='1992', price=45687.25}, location=Location{country='Poland', city='Skorogoszcz'}, date=2020-03-17}
Purchase{id=56, person=Person{name='Gerladina', surname='Bonifas', email='gbonifas1j@nytimes.com', ip='86.232.119.84'}, car=Car{color='#41c993', vin='19XFB4F21FE114495', company='Dodge', model='Grand Caravan', model_year='1995', price=28993.93}, location=Location{country='Czech Republic', city='Mikulovice'}, date=2020-01-27}
Purchase{id=61, person=Person{name='Emelina', surname='Quilter', email='equilter1o@cisco.com', ip='225.139.20.128'}, car=Car{color='#8b5783', vin='1N6AA0EK9FN039447', company='Dodge', model='Dakota Club', model_year='2002', price=15054.17}, location=Location{country='Czech Republic', city='Strančice'}, date=2020-05-05}
Purchase{id=125, person=Person{name='Gae', surname='Lumox', email='glumox3g@vkontakte.ru', ip='70.104.8.190'}, car=Car{color='#d64ec1', vin='WAUBF98E48A446067', company='Dodge', model='Grand Caravan', model_year='2007', price=15038.94}, location=Location{country='Czech Republic', city='Zastávka'}, date=2020-03-26}
Purchase{id=139, person=Person{name='Pietrek', surname='Gallahar', email='pgallahar3u@springer.com', ip='147.211.96.165'}, car=Car{color='#4977be', vin='WBAKA4C53BC902323', company='Dodge', model='Ram 1500', model_year='2008', price=98109.15}, location=Location{country='Czech Republic', city='Golčův Jeníkov'}, date=2020-01-18}
Purchase{id=141, person=Person{name='Eden', surname='Scamadin', email='escamadin3w@photobucket.com', ip='125.62.186.223'}, car=Car{color='#79753b', vin='4T1BF1FKXDU192155', company='Dodge', model='Stratus', model_year='2004', price=75713.09}, location=Location{country='Czech Republic', city='Kobeřice'}, date=2020-12-25}
Purchase{id=170, person=Person{name='Korney', surname='Teffrey', email='kteffrey4p@npr.org', ip='7.67.205.222'}, car=Car{color='#00b2d9', vin='SAJWA4DC4DM603701', company='Dodge', model='Dakota Club', model_year='1998', price=24630.42}, location=Location{country='Poland', city='Strzelce'}, date=2020-10-20}
Purchase{id=224, person=Person{name='Augustine', surname='Niles', email='aniles67@nymag.com', ip='212.220.241.14'}, car=Car{color='#489fe8', vin='5J6YH1H30AL143945', company='Dodge', model='Ram 3500 Club', model_year='1997', price=51816.43}, location=Location{country='Poland', city='Sarnów'}, date=2020-10-01}
Purchase{id=237, person=Person{name='Stafani', surname='Varnham', email='svarnham6k@weather.com', ip='145.239.57.201'}, car=Car{color='#d10e87', vin='SALAG2D44DA741088', company='Dodge', model='Ram Van 1500', model_year='1996', price=37628.39}, location=Location{country='Czech Republic', city='Fryčovice'}, date=2020-02-06}
Purchase{id=242, person=Person{name='Orsa', surname='Abbotson', email='oabbotson6p@mtv.com', ip='60.105.181.167'}, car=Car{color='#c4a6ed', vin='1B3CB5HA1AD958772', company='Dodge', model='Daytona', model_year='1984', price=65849.56}, location=Location{country='Poland', city='Wola Uhruska'}, date=2020-02-06}
Purchase{id=283, person=Person{name='Julio', surname='Stickles', email='jstickles7u@ehow.com', ip='188.10.28.24'}, car=Car{color='#6a2893', vin='1G6DC8EY0B0176915', company='Dodge', model='Magnum', model_year='2006', price=64382.28}, location=Location{country='Poland', city='Świdnica'}, date=2020-03-30}
Purchase{id=298, person=Person{name='Emyle', surname='Ridpath', email='eridpath89@imgur.com', ip='133.30.210.65'}, car=Car{color='#37f526', vin='JN1BY1AP2EM933890', company='Dodge', model='Dakota Club', model_year='1993', price=996.28}, location=Location{country='Poland', city='Wińsko'}, date=2020-09-24}
