Purchase{id=7, person=Person{name='Ilario', surname='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.70}, location=Location{country='Poland', city='Wapno'}, date=2020-06-04}
Purchase{id=11, person=Person{name='Ninette', surname='Minard', email='nminarda@tinypic.com', ip='248.97.165.1'}, car=Car{color='#ce2408', vin='3D7TT2HTXBG962910', company='Ford', model='Escape', model_year='2000', price=66074.00}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-09-19}
Purchase{id=33, person=Person{name='Sheri', surname='Dunham', email='sdunhamw@behance.net', ip='117.185.200.59'}, car=Car{color='#af1431', vin='1FTNX2A50AE167788', company='Ford', model='Mustang', model_year='2001', price=98060.01}, location=Location{country='Poland', city='Fajsławice'}, date=2020-05-11}
Purchase{id=42, person=Person{name='Torey', surname='Baake', email='tbaake15@infoseek.co.jp', ip='236.205.233.29'}, car=Car{color='#e577f8', vin='3C3CFFFH5ET105840', company='Ford', model='Escape', model_year='2004', price=77271.23}, location=Location{country='Poland', city='Malbork'}, date=2020-12-17}
Purchase{id=49, person=Person{name='Bjorn', surname='Fawthrop', email='bfawthrop1c@boston.com', ip='170.135.22.129'}, car=Car{color='#ecfcdb', vin='1FAHP3EN6BW566772', company='Ford', model='Edge', model_year='2010', price=23688.13}, location=Location{country='Czech Republic', city='Plasy'}, date=2020-12-07}
Purchase{id=52, person=Person{name='Garvey', surname='Laval', email='glaval1f@aboutads.info', ip='121.166.111.198'}, car=Car{color='#e46be0', vin='WDDHH8JB4FB844541', company='Ford', model='F350', model_year='2007', price=29919.74}, location=Location{country='Poland', city='Trzciana'}, date=2020-06-19}
Purchase{id=57, person=Person{name='Lexie', surname='Quesne', email='lquesne1k@huffingtonpost.com', ip='170.229.138.252'}, car=Car{color='#0b6ac2', vin='3D73M3CL8AG088050', company='Ford', model='Escape', model_year='2011', price=84054.37}, location=Location{country='Germany', city='München'}, date=2020-02-02}
Purchase{id=63, person=Person{name='Elinor', surname='Walicki', email='ewalicki1q@myspace.com', ip='4.80.205.89'}, car=Car{color='#d38c8b', vin='WP0AA2A81FK247865', company='Ford', model='E-Series', model_year='1990', price=36141.09}, location=Location{country='Poland', city='Kłomnice'}, date=2020-08-17}
Purchase{id=87, person=Person{name='Hephzibah', surname='Llorens', email='hllorens2e@nba.com', ip='153.32.83.243'}, car=Car{color='#4983ba', vin='19UUA65626A610940', company='Ford', model='Escape', model_year='2004', price=24614.31}, location=Location{country='Czech Republic', city='Ostravice'}, date=2020-01-06}
Purchase{id=88, person=Person{name='Waite', surname='Barnfather', email='wbarnfather2f@1688.com', ip='25.134.227.114'}, car=Car{color='#bb13fb', vin='WBAKP9C54ED316479', company='Ford', model='Mustang', model_year='1992', price=75613.97}, location=Location{country='Czech Republic', city='Klobuky'}, date=2020-10-13}
Purchase{id=92, person=Person{name='Erhart', surname='Spruce', email='espruce2j@techcrunch.com', ip='48.165.178.142'}, car=Car{color='#b24052', vin='19UUA9F50EA902169', company='Ford', model='Bronco', model_year='1984', price=75345.93}, location=Location{country='Czech Republic', city='Chabařovice'}, date=2020-11-22}
Purchase{id=94, person=Person{name='Ree', surname='McEnhill', email='rmcenhill2l@springer.com', ip='4.229.129.143'}, car=Car{color='#65eb6c', vin='1FTNX2A51AE167024', company='Ford', model='Excursion', model_year='2000', price=73354.65}, location=Location{country='Poland', city='Młynary'}, date=2020-03-11}
Purchase{id=163, person=Person{name='Albertine', surname='Sheasby', email='asheasby4i@weather.com', ip='203.65.83.72'}, car=Car{color='#8c6319', vin='2D4RN6DX2AR728030', company='Ford', model='E-Series', model_year='2012', price=16804.66}, location=Location{country='Poland', city='Zambrów'}, date=2020-10-27}
Purchase{id=177, person=Person{name='Shepherd', surname='Ferraresi', email='sferraresi4w@census.gov', ip='143.159.243.151'}, car=Car{color='#1ea9a7', vin='1C3CDFCB9ED465706', company='Ford', model='Mustang', model_year='2013', price=5178.45}, location=Location{country='Czech Republic', city='Tvarožná'}, date=2020-03-06}
Purchase{id=200, person=Person{name='Drew', surname='Menat', email='dmenat5j@bing.com', ip='22.217.105.10'}, car=Car{color='#efe232', vin='3VWC17AU3FM605198', company='Ford', model='Aerostar', model_year='1990', price=30656.51}, location=Location{country='Poland', city='Malanów'}, date=2020-02-13}
Purchase{id=212, person=Person{name='Penn', surname='Latliff', email='platliff5v@icio.us', ip='247.182.252.77'}, car=Car{color='#5ddedd', vin='1G6DZ67A790847851', company='Ford', model='Tempo', model_year='1994', price=28779.90}, location=Location{country='Poland', city='Ćmielów'}, date=2020-02-24}
Purchase{id=227, person=Person{name='Shannen', surname='Snoddon', email='ssnoddon6a@cnet.com', ip='77.8.213.146'}, car=Car{color='#909262', vin='2B3CJ7DW6AH689798', company='Ford', model='F350', model_year='2011', price=58379.50}, location=Location{country='Poland', city='Łobez'}, date=2020-01-22}
Purchase{id=256, person=Person{name='Bianca', surname='Casel', email='bcasel73@ftc.gov', ip='187.181.214.88'}, car=Car{color='#b923db', vin='1FMJU1J53AE862361', company='Ford', model='F250', model_year='2008', price=97873.45}, location=Location{country='Poland', city='Sośnie'}, date=2020-03-02}
