Purchase{id=41, person=Person{name='Queenie', surname='Vial', email='qvial14@multiply.com', ip='201.11.195.220'}, car=Car{color='#e8facb', vin='WAUCFAFH8BN695474', company='GMC', model='Suburban 1500', model_year='1993', price=31746.21}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-09-06}
Purchase{id=84, person=Person{name='Erich', surname='Cuniam', email='ecuniam2b@home.pl', ip='40.1.115.216'}, car=Car{color='#b82390', vin='JN8AZ2NC7D9278912', company='GMC', model='Jimmy', model_year='1995', price=64474.61}, location=Location{country='Germany', city='Mainz'}, date=2020-07-27}
Purchase{id=101, person=Person{name='Cassi', surname='Lathey', email='clathey2s@amazonaws.com', ip='107.61.186.115'}, car=Car{color='#f6a43a', vin='3VW4A7AT5DM856202', company='GMC', model='Yukon', model_year='2005', price=64903.07}, location=Location{country='Czech Republic', city='Chroustovice'}, date=2020-06-06}
Purchase{id=107, person=Person{name='Luis', surname='Charrisson', email='lcharrisson2y@over-blog.com', ip='173.83.117.187'}, car=Car{color='#0478e5', vin='WVGEF9BP1ED017355', company='GMC', model='2500', model_year='1994', price=38509.40}, location=Location{country='Czech Republic', city='Osek nad Bečvou'}, date=2020-10-05}
Purchase{id=155, person=Person{name='Shea', surname='Dinzey', email='sdinzey4a@behance.net', ip='142.156.31.64'}, car=Car{color='#2b6d57', vin='2T1BU4EE8BC638837', company='GMC', model='Sierra Denali', model_year='2006', price=98958.47}, location=Location{country='Poland', city='Huta Stara B'}, date=2020-06-02}
Purchase{id=165, person=Person{name='Phillip', surname='Arens', email='parens4k@chicagotribune.com', ip='5.104.36.246'}, car=Car{color='#a443d7', vin='WBAKF3C58CJ512861', company='GMC', model='Yukon XL 1500', model_year='2005', price=55144.44}, location=Location{country='Poland', city='Solec-Zdrój'}, date=2020-06-15}
Purchase{id=184, person=Person{name='Ole', surname='Goymer', email='ogoymer53@ask.com', ip='113.144.242.228'}, car=Car{color='#2a3c74', vin='2HNYD18675H930982', company='GMC', model='Suburban 1500', model_year='1997', price=57284.76}, location=Location{country='Poland', city='Goworowo'}, date=2020-07-20}
Purchase{id=205, person=Person{name='Phyllis', surname='Moysey', email='pmoysey5o@ezinearticles.com', ip='205.115.97.222'}, car=Car{color='#57c0fc', vin='1GYEE23A890226205', company='GMC', model='1500', model_year='1998', price=64062.67}, location=Location{country='Poland', city='Wiązownica'}, date=2020-09-15}
Purchase{id=215, person=Person{name='Antoni', surname='Laneham', email='alaneham5y@sbwire.com', ip='31.69.2.106'}, car=Car{color='#72ec52', vin='KMHTC6AD8DU738521', company='GMC', model='Sierra', model_year='2008', price=51743.05}, location=Location{country='Denmark', city='København'}, date=2020-09-12}
Purchase{id=262, person=Person{name='Tiphany', surname='Le Gall', email='tlegall79@hc360.com', ip='242.214.94.194'}, car=Car{color='#cca36e', vin='WBAVM1C57EV303937', company='GMC', model='Envoy', model_year='2008', price=58388.07}, location=Location{country='Czech Republic', city='Žďár'}, date=2020-06-02}
Purchase{id=263, person=Person{name='Perren', surname='Stroband', email='pstroband7a@google.co.jp', ip='26.153.98.123'}, car=Car{color='#9bb4bb', vin='5N1AA0NC8DN550684', company='GMC', model='Safari', model_year='1994', price=61548.34}, location=Location{country='Poland', city='Czerwieńsk'}, date=2020-12-17}
