Purchase{id=119, person=Person{name='Arielle', surname='Guilloud', email='aguilloud3a@instagram.com', ip='68.234.56.80'}, car=Car{color='#d2b6dd', vin='3C6JD6DKXCG825607', company='Hyundai', model='Veracruz', model_year='2009', price=9339.93}, location=Location{country='Czech Republic', city='Zlín'}, date=2020-02-28}
Purchase{id=151, person=Person{name='Granthem', surname='Van Salzberger', email='gvansalzberger46@blinklist.com', ip='53.2.58.249'}, car=Car{color='#f7746e', vin='1B3BD2FB1BN314720', company='Hyundai', model='Veracruz', model_year='2007', price=78018.69}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-07-28}
Purchase{id=220, person=Person{name='Katleen', surname='Thirlwell', email='kthirlwell63@prweb.com', ip='186.43.128.139'}, car=Car{color='#e6eea6', vin='YV1952AS8D1537259', company='Hyundai', model='Genesis Coupe', model_year='2010', price=16713.20}, location=Location{country='Poland', city='Złoczew'}, date=2020-09-04}
Purchase{id=319, person=Person{name='Hobey', surname='Brinkler', email='hbrinkler8u@amazon.co.uk', ip='115.103.9.158'}, car=Car{color='#1425ec', vin='JTHKD5BH7D2683417', company='Hyundai', model='Tiburon', model_year='2007', price=64358.19}, location=Location{country='Germany', city='Essen'}, date=2020-08-20}
Purchase{id=337, person=Person{name='Sebastien', surname='Guinan', email='sguinan9c@istockphoto.com', ip='137.46.185.192'}, car=Car{color='#d3a290', vin='WAUKG68E45A123919', company='Hyundai', model='Sonata', model_year='1995', price=59514.90}, location=Location{country='Czech Republic', city='Perštejn'}, date=2020-05-10}
Purchase{id=357, person=Person{name='Beltran', surname='Crosseland', email='bcrosseland9w@hao123.com', ip='195.239.193.201'}, car=Car{color='#b70c2b', vin='SCFAB01A16G868855', company='Hyundai', model='Sonata', model_year='2000', price=7347.83}, location=Location{country='Poland', city='Sypniewo'}, date=2020-05-04}
Purchase{id=383, person=Person{name='Zed', surname='Cyson', email='zcysonam@360.cn', ip='46.216.196.77'}, car=Car{color='#fd36f8', vin='4T1BF3EK6BU192597', company='Hyundai', model='Sonata', model_year='2002', price=37295.71}, location=Location{country='Poland', city='Pułtusk'}, date=2020-10-18}
Purchase{id=422, person=Person{name='Madalena', surname='Sandall', email='msandallbp@arizona.edu', ip='84.36.173.165'}, car=Car{color='#405af8', vin='19UUA66276A639006', company='Hyundai', model='Sonata', model_year='1994', price=71339.39}, location=Location{country='Czech Republic', city='Vrdy'}, date=2020-09-29}
Purchase{id=477, person=Person{name='Minerva', surname='Hinkens', email='mhinkensd8@hud.gov', ip='64.138.94.136'}, car=Car{color='#75631d', vin='1FMJK1H54BE033876', company='Hyundai', model='Tucson', model_year='2007', price=96352.61}, location=Location{country='Poland', city='Sosnowiec'}, date=2020-08-07}
Purchase{id=482, person=Person{name='Sebastiano', surname='Pariss', email='sparissdd@bbc.co.uk', ip='73.129.66.235'}, car=Car{color='#6f46ed', vin='YV1622FS6C2062921', company='Hyundai', model='Accent', model_year='2006', price=24129.79}, location=Location{country='Czech Republic', city='Týnec'}, date=2020-06-27}
Purchase{id=560, person=Person{name='Alejoa', surname='Poveleye', email='apoveleyefj@discovery.com', ip='165.67.52.40'}, car=Car{color='#ea79fa', vin='3C4PDDEG9FT460043', company='Hyundai', model='Azera', model_year='2008', price=11607.56}, location=Location{country='Poland', city='Złoty Stok'}, date=2020-12-02}
Purchase{id=600, person=Person{name='Ezekiel', surname='Morriarty', email='emorriartygn@xinhuanet.com', ip='196.126.238.57'}, car=Car{color='#eedad0', vin='1C3CDZCB9DN297799', company='Hyundai', model='Azera', model_year='2008', price=18203.75}, location=Location{country='Czech Republic', city='Habry'}, date=2020-10-20}
Purchase{id=668, person=Person{name='Augustine', surname='Murfett', email='amurfettij@apache.org', ip='10.185.87.127'}, car=Car{color='#27b592', vin='5NPDH4AEXBH533166', company='Hyundai', model='Genesis', model_year='2009', price=1489.55}, location=Location{country='Czech Republic', city='Velké Bílovice'}, date=2020-09-28}
Purchase{id=744, person=Person{name='Brook', surname='Maling', email='bmalingkn@ustream.tv', ip='218.96.249.226'}, car=Car{color='#5cd826', vin='SALFR2BN3CH239657', company='Hyundai', model='Sonata', model_year='2007', price=87557.69}, location=Location{country='Poland', city='Niedzica'}, date=2020-04-05}
Purchase{id=791, person=Person{name='Dillon', surname='Goolden', email='dgooldenly@ibm.com', ip='98.10.45.205'}, car=Car{color='#9882e2', vin='1FMEU6FE6AU564822', company='Hyundai', model='Santa Fe', model_year='2006', price=38452.21}, location=Location{country='Czech Republic', city='Prachatice'}, date=2020-10-23}
Purchase{id=846, person=Person{name='Reg', surname='Topping', email='rtoppingnh@pagesperso-orange.fr', ip='232.85.187.214'}, car=Car{color='#52def9', vin='JN8AS5MT0BW729667', company='Hyundai', model='Elantra', model_year='2009', price=98188.28}, location=Location{country='Czech Republic', city='Křížová'}, date=2020-06-24}
Purchase{id=854, person=Person{name='Karlik', surname='Kevern', email='kkevernnp@google.com.hk', ip='180.203.254.113'}, car=Car{color='#7b1ce8', vin='5TDBK3EH4DS741046', company='Hyundai', model='Elantra', model_year='2011', price=2283.22}, location=Location{country='Czech Republic', city='Buštěhrad'}, date=2020-02-23}
Purchase{id=859, person=Person{name='Ingmar', surname='Bettis', email='ibettisnu@mediafire.com', ip='246.233.175.150'}, car=Car{color='#4cd33c', vin='WAUMF98P06A214847', company='Hyundai', model='Azera', model_year='2009', price=18176.17}, location=Location{country='Poland', city='Gwoźnica Górna'}, date=2020-08-31}
Purchase{id=900, person=Person{name='Lavina', surname='Nieass', email='lnieassoz@oracle.com', ip='161.210.226.255'}, car=Car{color='#673e12', vin='SCBBR53WX6C362407', company='Hyundai', model='Accent', model_year='2012', price=2478.54}, location=Location{country='Poland', city='Dobre Miasto'}, date=2020-04-21}
Purchase{id=931, person=Person{name='Dagmar', surname='Moodycliffe', email='dmoodycliffepu@cisco.com', ip='230.189.241.167'}, car=Car{color='#019143', vin='KNADH4A38B6595431', company='Hyundai', model='Accent', model_year='2002', price=46633.87}, location=Location{country='Poland', city='Strzelce'}, date=2020-07-26}
Purchase{id=973, person=Person{name='Jolie', surname='Lilywhite', email='jlilywhiter0@sphinn.com', ip='110.56.3.212'}, car=Car{color='#67faf4', vin='1GYS3DEF2ER559552', company='Hyundai', model='Scoupe', model_year='1994', price=66626.90}, location=Location{country='Poland', city='Czerwonak'}, date=2020-08-08}
