Purchase{id=22, person=Person{name='Freddie', surname='Shutle', email='fshutlel@cnbc.com', ip='165.47.157.209'}, car=Car{color='#f6e9c0', vin='WAUXD68D62A671941', company='Isuzu', model='Rodeo', model_year='2002', price=61428.99}, location=Location{country='Czech Republic', city='Zábřeh'}, date=2020-11-24}
Purchase{id=154, person=Person{name='Etta', surname='Ruggs', email='eruggs49@vkontakte.ru', ip='4.6.154.104'}, car=Car{color='#5560ec', vin='WA1WGAFPXEA898389', company='Isuzu', model='Stylus', model_year='1992', price=3457.00}, location=Location{country='Poland', city='Łaskarzew'}, date=2020-07-08}
Purchase{id=300, person=Person{name='Etty', surname='Clay', email='eclay8b@guardian.co.uk', ip='167.188.45.254'}, car=Car{color='#43a66e', vin='WDDHF2EB4DA998120', company='Isuzu', model='Trooper', model_year='2000', price=53274.70}, location=Location{country='Czech Republic', city='Hřebeč'}, date=2020-07-31}
Purchase{id=405, person=Person{name='Junette', surname='Maxsted', email='jmaxstedb8@fc2.com', ip='229.131.255.191'}, car=Car{color='#9658d5', vin='VNKJTUD34FA807056', company='Isuzu', model='Rodeo', model_year='2000', price=91740.06}, location=Location{country='Poland', city='Nysa'}, date=2020-12-23}
Purchase{id=471, person=Person{name='Robby', surname='McLucky', email='rmcluckyd2@microsoft.com', ip='192.171.23.164'}, car=Car{color='#245ca6', vin='WBAKE3C58CE231977', company='Isuzu', model='Trooper', model_year='2000', price=82195.68}, location=Location{country='Czech Republic', city='Seč'}, date=2020-03-11}
Purchase{id=481, person=Person{name='Isabelita', surname='Valentinuzzi', email='ivalentinuzzidc@thetimes.co.uk', ip='137.241.119.28'}, car=Car{color='#5fe01a', vin='3D7LT2ET4BG923007', company='Isuzu', model='i-370', model_year='2007', price=18055.25}, location=Location{country='Poland', city='Nowa Sól'}, date=2020-04-01}
Purchase{id=640, person=Person{name='Laurette', surname='Kalkofen', email='lkalkofenhr@slate.com', ip='112.215.127.83'}, car=Car{color='#7bd339', vin='YV140MAM2F1605922', company='Isuzu', model='Trooper', model_year='2000', price=22890.55}, location=Location{country='Poland', city='Golub-Dobrzyń'}, date=2020-05-20}
Purchase{id=702, person=Person{name='Vincents', surname='Matushevich', email='vmatushevichjh@yahoo.com', ip='94.170.142.179'}, car=Car{color='#69ae6a', vin='WAUHGAFC6DN122809', company='Isuzu', model='Rodeo', model_year='2002', price=19340.99}, location=Location{country='Poland', city='Bełsznica'}, date=2020-04-03}
Purchase{id=784, person=Person{name='Adiana', surname='Zorzenoni', email='azorzenonilr@java.com', ip='123.30.26.84'}, car=Car{color='#2580c1', vin='3FA6P0PU3ER633443', company='Isuzu', model='Amigo', model_year='2000', price=36303.51}, location=Location{country='Germany', city='Frankfurt am Main'}, date=2020-06-09}
Purchase{id=802, person=Person{name='Kathrine', surname='Kinnier', email='kkinnierm9@japanpost.jp', ip='91.4.199.114'}, car=Car{color='#c94d3a', vin='5N1AN0NU7EN124743', company='Isuzu', model='Hombre Space', model_year='1997', price=14300.87}, location=Location{country='Poland', city='Osieczna'}, date=2020-07-21}
Purchase{id=812, person=Person{name='Frances', surname='Oxenden', email='foxendenmj@who.int', ip='198.29.46.43'}, car=Car{color='#49ef46', vin='5J8TB18279A669328', company='Isuzu', model='Ascender', model_year='2007', price=3700.19}, location=Location{country='Denmark', city='København'}, date=2020-08-03}
Purchase{id=825, person=Person{name='Puff', surname='Cinavas', email='pcinavasmw@europa.eu', ip='225.143.109.253'}, car=Car{color='#aa4438', vin='1G6EL12Y42B849158', company='Isuzu', model='Rodeo Sport', model_year='2002', price=59634.95}, location=Location{country='Germany', city='Leipzig'}, date=2020-09-21}
