Purchase{id=38, person=Person{name='Dionisio', surname='Cornfoot', email='dcornfoot11@ihg.com', ip='237.19.217.54'}, car=Car{color='#8c3079', vin='1GKS1EEF0ER954156', company='Land Rover', model='Range Rover', model_year='1994', price=67417.84}, location=Location{country='Czech Republic', city='Přimda'}, date=2020-02-13}
Purchase{id=116, person=Person{name='Christiano', surname='O'Hengerty', email='cohengerty37@narod.ru', ip='210.142.188.139'}, car=Car{color='#c5720f', vin='1G4GC5ER4CF871894', company='Land Rover', model='Range Rover', model_year='1991', price=38105.55}, location=Location{country='Czech Republic', city='Černošín'}, date=2020-12-09}
Purchase{id=206, person=Person{name='Maynord', surname='Dunnett', email='mdunnett5p@engadget.com', ip='88.233.225.141'}, car=Car{color='#d52d17', vin='3VWF17AT0FM576490', company='Land Rover', model='Discovery', model_year='2000', price=44288.79}, location=Location{country='Poland', city='Piasek'}, date=2020-02-03}
Purchase{id=398, person=Person{name='Jerad', surname='St Ledger', email='jstledgerb1@opera.com', ip='107.225.87.235'}, car=Car{color='#2df7ae', vin='WBAPL33579A476961', company='Land Rover', model='Discovery', model_year='2006', price=77609.86}, location=Location{country='Czech Republic', city='Zabrušany'}, date=2020-07-28}
Purchase{id=419, person=Person{name='Keeley', surname='Claydon', email='kclaydonbm@cornell.edu', ip='54.102.184.36'}, car=Car{color='#66c8a6', vin='KMHCM3AC6BU599179', company='Land Rover', model='LR3', model_year='2009', price=55622.30}, location=Location{country='Poland', city='Wińsko'}, date=2020-07-31}
Purchase{id=444, person=Person{name='Min', surname='Weymouth', email='mweymouthcb@deviantart.com', ip='117.240.180.207'}, car=Car{color='#117958', vin='JN8AZ2ND2F9787561', company='Land Rover', model='Range Rover', model_year='2010', price=25524.36}, location=Location{country='Poland', city='Ryki'}, date=2020-11-16}
Purchase{id=498, person=Person{name='Sherie', surname='Josowitz', email='sjosowitzdt@discovery.com', ip='161.116.0.68'}, car=Car{color='#b8bbfd', vin='3D7TP2CT4AG957244', company='Land Rover', model='Range Rover', model_year='2002', price=45686.49}, location=Location{country='Poland', city='Jemielno'}, date=2020-05-30}
Purchase{id=504, person=Person{name='Aguistin', surname='Buttler', email='abuttlerdz@goodreads.com', ip='108.245.192.171'}, car=Car{color='#7be2a4', vin='3VWJX7AJ7AM028907', company='Land Rover', model='Range Rover', model_year='1995', price=9743.19}, location=Location{country='Poland', city='Sokolniki'}, date=2020-01-14}
Purchase{id=555, person=Person{name='Ikey', surname='Lufkin', email='ilufkinfe@vk.com', ip='161.245.102.21'}, car=Car{color='#907989', vin='WAUDL94FX5N216148', company='Land Rover', model='Range Rover Sport', model_year='2010', price=60212.16}, location=Location{country='Poland', city='Krotoszyn'}, date=2020-02-10}
Purchase{id=878, person=Person{name='Glenn', surname='Austing', email='gaustingod@slashdot.org', ip='12.16.130.125'}, car=Car{color='#3c7b1b', vin='5UXKU2C57F0190533', company='Land Rover', model='Freelander', model_year='2011', price=66450.69}, location=Location{country='Poland', city='Cegłów'}, date=2020-09-14}
Purchase{id=916, person=Person{name='Mar', surname='Davinet', email='mdavinetpf@dailymail.co.uk', ip='182.100.88.223'}, car=Car{color='#c30700', vin='JN1BJ0HP2EM378203', company='Land Rover', model='Discovery Series II', model_year='2001', price=72459.38}, location=Location{country='Poland', city='Wysoka Strzyżowska'}, date=2020-06-01}
Purchase{id=1000, person=Person{name='Norri', surname='Rothman', email='nrothmanrr@ucla.edu', ip='105.243.149.9'}, car=Car{color='#64e5e8', vin='3D7LT2ET8AG370800', company='Land Rover', model='Range Rover Sport', model_year='2007', price=48217.71}, location=Location{country='Poland', city='Przemęt'}, date=2020-07-21}
