Purchase{id=2, person=Person{name='Rozalie', surname='Koles', email='rkoles1@va.gov', ip='163.62.162.110'}, car=Car{color='#9a89e7', vin='5UXKS4C52F0757166', company='Lexus', model='IS F', model_year='2009', price=72669.07}, location=Location{country='Poland', city='Kotuń'}, date=2020-07-22}
Purchase{id=196, person=Person{name='Farrel', surname='Housley', email='fhousley5f@fc2.com', ip='164.185.140.49'}, car=Car{color='#00a1c9', vin='WP0CA2A8XBU992217', company='Lexus', model='LS', model_year='1991', price=90019.91}, location=Location{country='Czech Republic', city='Jedlová'}, date=2020-03-26}
Purchase{id=207, person=Person{name='Brett', surname='Poulsen', email='bpoulsen5q@wikipedia.org', ip='241.134.75.24'}, car=Car{color='#710a9f', vin='WAUKG74F66N843818', company='Lexus', model='ES', model_year='1996', price=75323.10}, location=Location{country='Germany', city='Neuss'}, date=2020-02-08}
Purchase{id=286, person=Person{name='Viki', surname='Lummis', email='vlummis7x@webmd.com', ip='10.88.110.132'}, car=Car{color='#f09885', vin='2C3CDXCT3DH859198', company='Lexus', model='LX', model_year='2013', price=61266.53}, location=Location{country='Poland', city='Libiąż'}, date=2020-09-19}
Purchase{id=393, person=Person{name='Harald', surname='Djordjevic', email='hdjordjevicaw@is.gd', ip='230.153.67.67'}, car=Car{color='#f54b25', vin='JN8AZ2KR3AT723377', company='Lexus', model='IS F', model_year='2010', price=7464.01}, location=Location{country='Poland', city='Mrzeżyno'}, date=2020-01-25}
Purchase{id=489, person=Person{name='Brooke', surname='Bartlam', email='bbartlamdk@samsung.com', ip='142.25.207.201'}, car=Car{color='#a8aaf8', vin='4A31K3DT7AE924652', company='Lexus', model='IS', model_year='2008', price=29762.35}, location=Location{country='Czech Republic', city='Kralupy nad Vltavou'}, date=2020-12-06}
Purchase{id=713, person=Person{name='Mac', surname='Maxsted', email='mmaxstedjs@globo.com', ip='4.229.2.72'}, car=Car{color='#ce85cd', vin='SCFFDABM9DG129650', company='Lexus', model='IS', model_year='2007', price=43953.17}, location=Location{country='Poland', city='Dziemiany'}, date=2020-02-20}
Purchase{id=817, person=Person{name='Faye', surname='Jellis', email='fjellismo@tmall.com', ip='16.33.233.143'}, car=Car{color='#421bac', vin='1G4GD5ED7BF117694', company='Lexus', model='LS', model_year='1999', price=28444.16}, location=Location{country='Czech Republic', city='Mirotice'}, date=2020-03-01}
Purchase{id=842, person=Person{name='Shaylah', surname='Airey', email='saireynd@yahoo.com', ip='186.137.165.179'}, car=Car{color='#b1b67f', vin='WVWGU7AN2CE955413', company='Lexus', model='SC', model_year='2004', price=61697.15}, location=Location{country='Poland', city='Krzeczów'}, date=2020-02-14}
Purchase{id=881, person=Person{name='Rochella', surname='Deverell', email='rdeverellog@google.fr', ip='30.245.34.73'}, car=Car{color='#8e3cae', vin='WAUML54B83N076720', company='Lexus', model='IS-F', model_year='2011', price=20327.75}, location=Location{country='Poland', city='Słupno'}, date=2020-09-04}
Purchase{id=882, person=Person{name='Tanner', surname='Courtois', email='tcourtoisoh@ucla.edu', ip='225.119.229.78'}, car=Car{color='#6a96d0', vin='1D4RE2GGXBC829525', company='Lexus', model='SC', model_year='2009', price=51389.10}, location=Location{country='Germany', city='Dresden'}, date=2020-09-11}
Purchase{id=980, person=Person{name='Brooke', surname='Stable', email='bstabler7@newyorker.com', ip='225.126.36.32'}, car=Car{color='#a276c8', vin='TRUWC28N811808207', company='Lexus', model='GS', model_year='1993', price=68162.34}, location=Location{country='Czech Republic', city='Tvarožná'}, date=2020-06-05}
