Purchase{id=145, person=Person{name='Coop', surname='Gentle', email='cgentle40@deliciousdays.com', ip='223.25.202.25'}, car=Car{color='#c085da', vin='WAUUL78E16A944097', company='Lincoln', model='MKT', model_year='2011', price=6444.46}, location=Location{country='Denmark', city='København'}, date=2020-04-14}
Purchase{id=270, person=Person{name='Daphene', surname='Bridge', email='dbridge7h@hhs.gov', ip='66.13.144.195'}, car=Car{color='#08d512', vin='YV1672MK8D2251270', company='Lincoln', model='Town Car', model_year='1990', price=96472.28}, location=Location{country='Czech Republic', city='Bavorov'}, date=2020-03-27}
Purchase{id=278, person=Person{name='Gloriane', surname='Schonfelder', email='gschonfelder7p@shinystat.com', ip='46.88.108.64'}, car=Car{color='#0e97fa', vin='JTJHY7AX3F4021021', company='Lincoln', model='Navigator', model_year='2007', price=90568.26}, location=Location{country='Poland', city='Spytkowice'}, date=2020-11-29}
Purchase{id=479, person=Person{name='Shurwood', surname='Garland', email='sgarlandda@printfriendly.com', ip='200.62.13.233'}, car=Car{color='#621956', vin='1GKMCAE37AR373541', company='Lincoln', model='Navigator L', model_year='2007', price=48521.65}, location=Location{country='Czech Republic', city='Kladruby'}, date=2020-11-22}
Purchase{id=525, person=Person{name='Juliann', surname='Moncarr', email='jmoncarrek@wisc.edu', ip='180.95.43.166'}, car=Car{color='#22225b', vin='WAU4FAFRXCA959042', company='Lincoln', model='Blackwood', model_year='2002', price=31306.78}, location=Location{country='Poland', city='Janikowo'}, date=2020-09-05}
Purchase{id=717, person=Person{name='Tiebout', surname='Hadenton', email='thadentonjw@plala.or.jp', ip='82.188.213.139'}, car=Car{color='#c2bf43', vin='KM8JT3AB0CU252997', company='Lincoln', model='Navigator', model_year='2008', price=1229.56}, location=Location{country='Germany', city='Berlin'}, date=2020-11-26}
Purchase{id=718, person=Person{name='Kellina', surname='Hanalan', email='khanalanjx@npr.org', ip='86.94.25.150'}, car=Car{color='#b36c62', vin='WBA3A5C54DJ985706', company='Lincoln', model='Navigator', model_year='2006', price=14405.46}, location=Location{country='Poland', city='Zabierzów'}, date=2020-09-14}
Purchase{id=813, person=Person{name='Sarette', surname='Lissenden', email='slissendenmk@stumbleupon.com', ip='226.227.121.33'}, car=Car{color='#86312e', vin='5TDBKRFH1ES664560', company='Lincoln', model='Mark VIII', model_year='1998', price=53874.79}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-02}
Purchase{id=839, person=Person{name='Ode', surname='Sackett', email='osackettna@abc.net.au', ip='69.217.46.81'}, car=Car{color='#55c009', vin='WA1CMAFP1EA573111', company='Lincoln', model='Town Car', model_year='1993', price=74697.14}, location=Location{country='Poland', city='Hyżne'}, date=2020-12-26}
Purchase{id=942, person=Person{name='Brandon', surname='Sclanders', email='bsclandersq5@usda.gov', ip='70.89.156.230'}, car=Car{color='#64bf1a', vin='WBAVC93558K375551', company='Lincoln', model='Continental', model_year='1989', price=66092.79}, location=Location{country='Germany', city='München'}, date=2020-06-07}
Purchase{id=996, person=Person{name='Quent', surname='Lillgard', email='qlillgardrn@samsung.com', ip='144.218.189.171'}, car=Car{color='#9b9ca3', vin='WBAPH7G51BN565510', company='Lincoln', model='MKT', model_year='2010', price=60519.09}, location=Location{country='Poland', city='Zator'}, date=2020-12-16}
