Purchase{id=5, person=Person{name='Gabbi', surname='Hafner', email='ghafner4@icio.us', ip='8.198.1.190'}, car=Car{color='#0d807c', vin='WBAFU9C5XDD400069', company='Mazda', model='B-Series Plus', model_year='2004', price=71988.49}, location=Location{country='Poland', city='Gilowice'}, date=2020-12-26}
Purchase{id=8, person=Person{name='Kean', surname='Corday', email='kcorday7@stanford.edu', ip='153.153.169.51'}, car=Car{color='#9464f8', vin='WAUDGAFL2CA998863', company='Mazda', model='MX-5', model_year='1994', price=25332.86}, location=Location{country='Czech Republic', city='Příbram'}, date=2020-01-23}
Purchase{id=40, person=Person{name='Dori', surname='Leroux', email='dleroux13@mysql.com', ip='227.62.73.141'}, car=Car{color='#035e85', vin='JTHDU1EF6A5223784', company='Mazda', model='Mazdaspeed 3', model_year='2007', price=43416.68}, location=Location{country='Poland', city='Jonkowo'}, date=2020-11-14}
Purchase{id=58, person=Person{name='Binky', surname='Hendrickson', email='bhendrickson1l@flickr.com', ip='89.4.101.35'}, car=Car{color='#fc75a3', vin='SAJWA4EB8EL899450', company='Mazda', model='CX-7', model_year='2010', price=74018.72}, location=Location{country='Poland', city='Płońsk'}, date=2020-02-02}
Purchase{id=120, person=Person{name='Carter', surname='Ayree', email='cayree3b@examiner.com', ip='68.252.134.98'}, car=Car{color='#2d3fe8', vin='1G4HA5EM8BU593803', company='Mazda', model='Mazda2', model_year='2012', price=77296.02}, location=Location{country='Poland', city='Wojaszówka'}, date=2020-05-18}
Purchase{id=160, person=Person{name='Brigit', surname='Giannasi', email='bgiannasi4f@youtu.be', ip='203.238.49.210'}, car=Car{color='#2c4d52', vin='1G4PR5SK9D4589754', company='Mazda', model='626', model_year='2001', price=34880.98}, location=Location{country='Czech Republic', city='Modřice'}, date=2020-03-05}
Purchase{id=190, person=Person{name='Ludwig', surname='Jovicic', email='ljovicic59@cbslocal.com', ip='134.139.223.47'}, car=Car{color='#c46eb4', vin='KNAFZ6A35F5226233', company='Mazda', model='MX-5', model_year='2012', price=29357.94}, location=Location{country='Czech Republic', city='Chyňava'}, date=2020-06-15}
Purchase{id=213, person=Person{name='Leoine', surname='Sowman', email='lsowman5w@independent.co.uk', ip='232.60.68.122'}, car=Car{color='#feb9d8', vin='WDDJK7DA5EF653122', company='Mazda', model='CX-7', model_year='2008', price=53087.83}, location=Location{country='Poland', city='Kraków'}, date=2020-01-10}
Purchase{id=229, person=Person{name='Carey', surname='Moland', email='cmoland6c@ucoz.ru', ip='178.112.146.213'}, car=Car{color='#26dbf1', vin='JTDBT4K35CL411945', company='Mazda', model='Millenia', model_year='1999', price=22569.04}, location=Location{country='Poland', city='Sośno'}, date=2020-05-04}
Purchase{id=232, person=Person{name='Harwell', surname='Kenwin', email='hkenwin6f@baidu.com', ip='226.119.8.33'}, car=Car{color='#a050d3', vin='WA1CGAFE0ED941315', company='Mazda', model='CX-5', model_year='2013', price=56757.95}, location=Location{country='Poland', city='Rokietnica'}, date=2020-04-02}
Purchase{id=271, person=Person{name='Morse', surname='Borg-Bartolo', email='mborgbartolo7i@webmd.com', ip='51.39.204.103'}, car=Car{color='#cc0528', vin='1G6AM5SX7E0541153', company='Mazda', model='Millenia', model_year='1996', price=37991.48}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-09-23}
Purchase{id=284, person=Person{name='Alyce', surname='McGrae', email='amcgrae7v@mediafire.com', ip='225.100.7.23'}, car=Car{color='#157c71', vin='WAUGFAFC4DN341041', company='Mazda', model='CX-7', model_year='2009', price=80814.80}, location=Location{country='Czech Republic', city='Lukavec'}, date=2020-03-05}
Purchase{id=297, person=Person{name='Aurelea', surname='Dumbarton', email='adumbarton88@ameblo.jp', ip='242.229.200.222'}, car=Car{color='#cd1c54', vin='1G6DK8E35D0811587', company='Mazda', model='RX-7', model_year='1983', price=54789.33}, location=Location{country='Poland', city='Korczew'}, date=2020-12-24}
Purchase{id=334, person=Person{name='Cart', surname='Rozzier', email='crozzier99@samsung.com', ip='143.85.71.187'}, car=Car{color='#91192e', vin='1FTEX1C82AF480997', company='Mazda', model='RX-7', model_year='1989', price=60821.10}, location=Location{country='Czech Republic', city='Grygov'}, date=2020-06-11}
Purchase{id=370, person=Person{name='Rodie', surname='Windress', email='rwindressa9@admin.ch', ip='128.140.17.88'}, car=Car{color='#dc372d', vin='3N1BC1AP8BL565641', company='Mazda', model='B2000', model_year='1985', price=69924.62}, location=Location{country='Poland', city='Stoczek'}, date=2020-12-01}
Purchase{id=391, person=Person{name='Kellby', surname='Feeham', email='kfeehamau@odnoklassniki.ru', ip='86.118.49.71'}, car=Car{color='#e46b3a', vin='5N1AN0NU9DN745948', company='Mazda', model='B-Series Plus', model_year='2002', price=81993.36}, location=Location{country='Poland', city='Trzebnica'}, date=2020-07-26}
Purchase{id=414, person=Person{name='Luigi', surname='Clemas', email='lclemasbh@bloomberg.com', ip='18.27.132.168'}, car=Car{color='#5ee766', vin='1FTEW1CF7FK123072', company='Mazda', model='Miata MX-5', model_year='2002', price=34512.20}, location=Location{country='Poland', city='Dębe Wielkie'}, date=2020-03-01}
Purchase{id=421, person=Person{name='Hilario', surname='Zannetti', email='hzannettibo@businessinsider.com', ip='153.214.110.37'}, car=Car{color='#1fc3e2', vin='4T1BF1FK0CU841945', company='Mazda', model='MX-5', model_year='2004', price=41728.54}, location=Location{country='Poland', city='Sosnówka'}, date=2020-09-12}
Purchase{id=434, person=Person{name='Carol-jean', surname='Mournian', email='cmournianc1@illinois.edu', ip='3.139.242.226'}, car=Car{color='#1099f7', vin='1C4AJWAG7DL939151', company='Mazda', model='MX-6', model_year='1991', price=56681.54}, location=Location{country='Poland', city='Pawłowiczki'}, date=2020-05-07}
Purchase{id=454, person=Person{name='Garik', surname='Gaw', email='ggawcl@t.co', ip='40.59.42.245'}, car=Car{color='#7cb387', vin='SCFBF04B88G078257', company='Mazda', model='CX-7', model_year='2010', price=21597.37}, location=Location{country='Poland', city='Wasilków'}, date=2020-09-30}
Purchase{id=473, person=Person{name='Fanchon', surname='Episcopio', email='fepiscopiod4@ocn.ne.jp', ip='161.193.57.28'}, car=Car{color='#909c5c', vin='JH4CL95936C357534', company='Mazda', model='B-Series Plus', model_year='1992', price=97277.50}, location=Location{country='Poland', city='Uniejów'}, date=2020-03-04}
Purchase{id=530, person=Person{name='Callida', surname='Ertelt', email='certeltep@shutterfly.com', ip='180.123.22.44'}, car=Car{color='#17f1ae', vin='3D7LP2ET8BG985465', company='Mazda', model='B-Series Plus', model_year='2002', price=45897.22}, location=Location{country='Poland', city='Janowiec'}, date=2020-04-10}
Purchase{id=625, person=Person{name='Bradley', surname='Plomer', email='bplomerhc@gmpg.org', ip='134.131.92.164'}, car=Car{color='#dc7cfb', vin='WBAFR7C59CD430006', company='Mazda', model='RX-8', model_year='2010', price=62387.06}, location=Location{country='Poland', city='Gorzów Śląski'}, date=2020-03-04}
Purchase{id=627, person=Person{name='Sigvard', surname='Parratt', email='sparratthe@tripod.com', ip='125.92.157.168'}, car=Car{color='#cb6f24', vin='WAUXL68E44A133818', company='Mazda', model='Familia', model_year='1991', price=70021.37}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-09-11}
Purchase{id=716, person=Person{name='Tracey', surname='Blethin', email='tblethinjv@redcross.org', ip='90.246.143.171'}, car=Car{color='#775447', vin='WAUMGBFL6AA150245', company='Mazda', model='CX-9', model_year='2010', price=19705.91}, location=Location{country='Denmark', city='København'}, date=2020-06-12}
Purchase{id=747, person=Person{name='Florella', surname='Leonard', email='fleonardkq@walmart.com', ip='224.124.229.58'}, car=Car{color='#856a31', vin='KMHTC6ADXFU970704', company='Mazda', model='626', model_year='1993', price=71137.72}, location=Location{country='Czech Republic', city='Žirovnice'}, date=2020-09-10}
