Purchase{id=27, person=Person{name='Carmen', surname='Bowen', email='cbowenq@nationalgeographic.com', ip='63.239.51.206'}, car=Car{color='#3fb1cf', vin='WAUGL98E25A270887', company='Mercedes-Benz', model='E-Class', model_year='2005', price=59050.98}, location=Location{country='Germany', city='Kassel'}, date=2020-03-14}
Purchase{id=47, person=Person{name='Jarrid', surname='Andreotti', email='jandreotti1a@acquirethisname.com', ip='38.184.194.184'}, car=Car{color='#0ba4ce', vin='WAUDGAFL5DA732884', company='Mercedes-Benz', model='CLS-Class', model_year='2011', price=3183.57}, location=Location{country='Poland', city='Drawsko Pomorskie'}, date=2020-01-09}
Purchase{id=50, person=Person{name='Sollie', surname='Palatino', email='spalatino1d@linkedin.com', ip='37.149.119.171'}, car=Car{color='#a8deac', vin='5GAEV23D39J957670', company='Mercedes-Benz', model='SLS AMG', model_year='2012', price=6369.83}, location=Location{country='Czech Republic', city='Znojmo'}, date=2020-10-03}
Purchase{id=59, person=Person{name='Julieta', surname='Havock', email='jhavock1m@sohu.com', ip='104.226.28.113'}, car=Car{color='#24f4f5', vin='WBSDX9C54BE066526', company='Mercedes-Benz', model='SL-Class', model_year='1984', price=42147.27}, location=Location{country='Poland', city='Sanok'}, date=2020-03-24}
Purchase{id=69, person=Person{name='Arley', surname='Blouet', email='ablouet1w@npr.org', ip='98.161.76.178'}, car=Car{color='#7a8ce0', vin='WBAEU334X4P114527', company='Mercedes-Benz', model='E-Class', model_year='1995', price=64393.66}, location=Location{country='Poland', city='Wojnicz'}, date=2020-01-03}
Purchase{id=85, person=Person{name='Cosmo', surname='McOnie', email='cmconie2c@oracle.com', ip='155.69.105.106'}, car=Car{color='#9f9316', vin='JHMFB4F21CS468704', company='Mercedes-Benz', model='SL65 AMG', model_year='2006', price=12734.28}, location=Location{country='Czech Republic', city='Heřmanův Městec'}, date=2020-10-25}
Purchase{id=128, person=Person{name='Brigida', surname='Keen', email='bkeen3j@networksolutions.com', ip='217.225.65.146'}, car=Car{color='#e739e1', vin='4T1BF3EKXBU205285', company='Mercedes-Benz', model='G-Class', model_year='2005', price=91226.32}, location=Location{country='Poland', city='Piaski'}, date=2020-11-07}
Purchase{id=134, person=Person{name='Grace', surname='Carr', email='gcarr3p@cam.ac.uk', ip='87.222.37.8'}, car=Car{color='#e5c96c', vin='1C4AJWAG4DL069732', company='Mercedes-Benz', model='C-Class', model_year='2006', price=24707.10}, location=Location{country='Poland', city='Bałtów'}, date=2020-10-25}
Purchase{id=172, person=Person{name='Bride', surname='Empleton', email='bempleton4r@businessinsider.com', ip='158.253.160.205'}, car=Car{color='#7210c9', vin='2C3CDXCT7CH704409', company='Mercedes-Benz', model='300D', model_year='1992', price=17810.02}, location=Location{country='Poland', city='Dąbrowice'}, date=2020-12-09}
Purchase{id=187, person=Person{name='Ailey', surname='Usborn', email='ausborn56@deliciousdays.com', ip='147.164.79.146'}, car=Car{color='#1b8856', vin='1FTEW1E8XAF520680', company='Mercedes-Benz', model='M-Class', model_year='2002', price=98107.82}, location=Location{country='Poland', city='Kożuchów'}, date=2020-02-06}
Purchase{id=248, person=Person{name='Karmen', surname='Murrow', email='kmurrow6v@psu.edu', ip='101.103.206.79'}, car=Car{color='#4f8cbf', vin='5UXFG2C51E0621889', company='Mercedes-Benz', model='C-Class', model_year='2006', price=32785.51}, location=Location{country='Poland', city='Regimin'}, date=2020-11-14}
Purchase{id=294, person=Person{name='Starlin', surname='Wayvill', email='swayvill85@uol.com.br', ip='49.150.247.241'}, car=Car{color='#7e919e', vin='4JGDA0EB2FA562733', company='Mercedes-Benz', model='SLK-Class', model_year='2012', price=45019.57}, location=Location{country='Czech Republic', city='Oldřišov'}, date=2020-09-15}
Purchase{id=338, person=Person{name='Jeniece', surname='Towers', email='jtowers9d@t-online.de', ip='33.140.164.241'}, car=Car{color='#36937c', vin='1G6AE5SX6D0613116', company='Mercedes-Benz', model='CLK-Class', model_year='2005', price=93260.59}, location=Location{country='Germany', city='Mainz'}, date=2020-02-13}
Purchase{id=341, person=Person{name='Kathy', surname='Lount', email='klount9g@sakura.ne.jp', ip='71.81.245.90'}, car=Car{color='#b5bdc8', vin='WAUFFAFL0FA626387', company='Mercedes-Benz', model='E-Class', model_year='1993', price=42460.73}, location=Location{country='Czech Republic', city='Horka nad Moravou'}, date=2020-12-23}
Purchase{id=356, person=Person{name='Kariotta', surname='Gittens', email='kgittens9v@people.com.cn', ip='1.240.115.76'}, car=Car{color='#d3005a', vin='4T3BA3BB4DU468000', company='Mercedes-Benz', model='R-Class', model_year='2011', price=69554.95}, location=Location{country='Poland', city='Stryków'}, date=2020-02-26}
Purchase{id=362, person=Person{name='Maxie', surname='Riccardini', email='mriccardinia1@alexa.com', ip='238.58.249.186'}, car=Car{color='#7da7af', vin='1N6AA0CAXCN717418', company='Mercedes-Benz', model='W201', model_year='1985', price=93000.95}, location=Location{country='Czech Republic', city='Otaslavice'}, date=2020-02-09}
Purchase{id=371, person=Person{name='Florella', surname='Faivre', email='ffaivreaa@taobao.com', ip='220.249.190.204'}, car=Car{color='#8f4944', vin='WBAAZ33475K024301', company='Mercedes-Benz', model='SL-Class', model_year='1999', price=16464.10}, location=Location{country='Germany', city='Hamburg'}, date=2020-02-14}
Purchase{id=425, person=Person{name='Elfrieda', surname='Poznan', email='epoznanbs@microsoft.com', ip='65.53.105.127'}, car=Car{color='#16c4ce', vin='WAUEH94F46N957726', company='Mercedes-Benz', model='S-Class', model_year='2006', price=63444.94}, location=Location{country='Poland', city='Cielądz'}, date=2020-09-27}
Purchase{id=436, person=Person{name='Loralee', surname='Gammell', email='lgammellc3@canalblog.com', ip='108.77.9.62'}, car=Car{color='#bfc2d7', vin='19VDE1F72DE536824', company='Mercedes-Benz', model='300E', model_year='1992', price=69282.52}, location=Location{country='Poland', city='Imielin'}, date=2020-07-29}
Purchase{id=480, person=Person{name='Paulie', surname='Allso', email='pallsodb@naver.com', ip='11.169.68.80'}, car=Car{color='#49e867', vin='1GYS3CEF4ER538647', company='Mercedes-Benz', model='SLK-Class', model_year='2002', price=66904.75}, location=Location{country='Poland', city='Łapsze Niżne'}, date=2020-09-22}
Purchase{id=543, person=Person{name='Daryle', surname='Eul', email='deulf2@technorati.com', ip='100.29.120.198'}, car=Car{color='#1c2cb0', vin='2D4RN3D18AR025963', company='Mercedes-Benz', model='R-Class', model_year='2008', price=40634.21}, location=Location{country='Poland', city='Pecna'}, date=2020-08-17}
