Purchase{id=98, person=Person{name='Elmo', surname='Bezant', email='ebezant2p@newsvine.com', ip='235.99.242.125'}, car=Car{color='#952399', vin='1FTMF1CW3AF329339', company='Mercury', model='Cougar', model_year='1970', price=88700.15}, location=Location{country='Czech Republic', city='Mirošov'}, date=2020-01-04}
Purchase{id=114, person=Person{name='Lorenza', surname='Eley', email='leley35@free.fr', ip='91.212.4.150'}, car=Car{color='#64b9b1', vin='1G4PP5SK1F4723682', company='Mercury', model='Tracer', model_year='1991', price=27729.92}, location=Location{country='Poland', city='Dębno'}, date=2020-10-15}
Purchase{id=176, person=Person{name='Gay', surname='Meeking', email='gmeeking4v@wired.com', ip='79.239.0.249'}, car=Car{color='#ee0712', vin='WAUDF58EX5A224615', company='Mercury', model='Cougar', model_year='2001', price=84681.86}, location=Location{country='Poland', city='Działoszyce'}, date=2020-04-25}
Purchase{id=188, person=Person{name='Hettie', surname='Swyn', email='hswyn57@engadget.com', ip='189.107.173.220'}, car=Car{color='#43f10e', vin='WA1YD54B14N438089', company='Mercury', model='Mystique', model_year='1999', price=94727.98}, location=Location{country='Czech Republic', city='Bohumín'}, date=2020-05-03}
Purchase{id=201, person=Person{name='Stillmann', surname='Grazier', email='sgrazier5k@youtube.com', ip='126.104.250.87'}, car=Car{color='#48fda8', vin='2T3BF4DV5BW765482', company='Mercury', model='Villager', model_year='2000', price=64650.99}, location=Location{country='Poland', city='Łobez'}, date=2020-09-04}
Purchase{id=209, person=Person{name='Emmalynne', surname='Arckoll', email='earckoll5s@networksolutions.com', ip='141.212.255.13'}, car=Car{color='#14fc51', vin='WAUEFAFL2AN732952', company='Mercury', model='Grand Marquis', model_year='1994', price=55536.92}, location=Location{country='Poland', city='Wyszków'}, date=2020-04-29}
Purchase{id=216, person=Person{name='Dunc', surname='Chrispin', email='dchrispin5z@stanford.edu', ip='243.36.47.188'}, car=Car{color='#1611ef', vin='WAUCFAFR5FA025161', company='Mercury', model='Mountaineer', model_year='2008', price=42602.38}, location=Location{country='Czech Republic', city='Hrob'}, date=2020-03-23}
Purchase{id=217, person=Person{name='Hardy', surname='Breslane', email='hbreslane60@kickstarter.com', ip='73.191.94.185'}, car=Car{color='#6f2969', vin='3GTU1YEJ4DG749044', company='Mercury', model='Grand Marquis', model_year='1995', price=18317.22}, location=Location{country='Poland', city='Jonkowo'}, date=2020-02-16}
Purchase{id=239, person=Person{name='Marla', surname='Smallcomb', email='msmallcomb6m@edublogs.org', ip='169.130.72.178'}, car=Car{color='#52db8a', vin='3FAHP0CG8CR001253', company='Mercury', model='Grand Marquis', model_year='2002', price=16508.63}, location=Location{country='Czech Republic', city='Jablunkov'}, date=2020-12-06}
Purchase{id=311, person=Person{name='Ronni', surname='Nibley', email='rnibley8m@hibu.com', ip='124.9.3.216'}, car=Car{color='#10cae0', vin='3GYFK62878G443953', company='Mercury', model='Milan', model_year='2009', price=63884.95}, location=Location{country='Poland', city='Grojec'}, date=2020-01-19}
Purchase{id=315, person=Person{name='Hinze', surname='Gorriessen', email='hgorriessen8q@shutterfly.com', ip='38.156.81.87'}, car=Car{color='#dcba80', vin='KNAGM4AD9F5600469', company='Mercury', model='Villager', model_year='2001', price=31679.55}, location=Location{country='Poland', city='Siemianowice Śląskie'}, date=2020-07-29}
