Purchase{id=32, person=Person{name='Cello', surname='Carroll', email='ccarrollv@spotify.com', ip='213.92.152.33'}, car=Car{color='#e24e3a', vin='JN8AZ1MU6CW935297', company='Mitsubishi', model='Truck', model_year='1987', price=67651.11}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-05-18}
Purchase{id=66, person=Person{name='Clementius', surname='Naerup', email='cnaerup1t@tuttocitta.it', ip='233.103.63.102'}, car=Car{color='#75bf79', vin='1GYS4JEF2DR071261', company='Mitsubishi', model='3000GT', model_year='1995', price=69929.29}, location=Location{country='Czech Republic', city='Krásná Lípa'}, date=2020-01-28}
Purchase{id=80, person=Person{name='Chariot', surname='Kops', email='ckops27@mapquest.com', ip='126.25.65.87'}, car=Car{color='#93601f', vin='WBAFR1C55BC272071', company='Mitsubishi', model='Montero', model_year='2001', price=19694.43}, location=Location{country='Poland', city='Ścinawa'}, date=2020-06-06}
Purchase{id=124, person=Person{name='Maxine', surname='Sleath', email='msleath3f@gmpg.org', ip='191.46.219.106'}, car=Car{color='#3424eb', vin='WA1LGAFE5ED933548', company='Mitsubishi', model='Raider', model_year='2006', price=67799.88}, location=Location{country='Poland', city='Skoczów'}, date=2020-07-22}
Purchase{id=149, person=Person{name='Julee', surname='Gough', email='jgough44@ebay.co.uk', ip='18.43.22.229'}, car=Car{color='#87aa7a', vin='5TFBW5F13CX770970', company='Mitsubishi', model='Outlander', model_year='2012', price=20062.34}, location=Location{country='Poland', city='Wąsosz'}, date=2020-10-14}
Purchase{id=185, person=Person{name='Melinde', surname='Grimsdike', email='mgrimsdike54@about.com', ip='178.79.124.46'}, car=Car{color='#0543fc', vin='1FTEX1C80AF812466', company='Mitsubishi', model='Endeavor', model_year='2006', price=91031.36}, location=Location{country='Poland', city='Jawornik Polski'}, date=2020-08-19}
Purchase{id=236, person=Person{name='Fidela', surname='Morot', email='fmorot6j@sphinn.com', ip='182.65.149.159'}, car=Car{color='#033a8d', vin='JTHKD5BH5E2436995', company='Mitsubishi', model='Endeavor', model_year='2010', price=13604.86}, location=Location{country='Czech Republic', city='Bohutín'}, date=2020-12-04}
Purchase{id=272, person=Person{name='Gregory', surname='Farmiloe', email='gfarmiloe7j@myspace.com', ip='35.7.201.117'}, car=Car{color='#56b2f6', vin='1GYEE23A290317227', company='Mitsubishi', model='Mirage', model_year='1985', price=68946.01}, location=Location{country='Czech Republic', city='Lysice'}, date=2020-02-25}
Purchase{id=277, person=Person{name='Burty', surname='Rowswell', email='browswell7o@aboutads.info', ip='76.225.67.25'}, car=Car{color='#1a1d90', vin='1GYS4GEF6BR688291', company='Mitsubishi', model='Mirage', model_year='1989', price=30618.20}, location=Location{country='Poland', city='Golina'}, date=2020-12-15}
Purchase{id=281, person=Person{name='Forbes', surname='Haliburn', email='fhaliburn7s@icq.com', ip='30.109.153.66'}, car=Car{color='#fe6e3c', vin='WAUVT58E75A797369', company='Mitsubishi', model='Montero', model_year='2005', price=19069.70}, location=Location{country='Poland', city='Zagórnik'}, date=2020-09-27}
Purchase{id=340, person=Person{name='Berny', surname='Jereatt', email='bjereatt9f@php.net', ip='80.188.172.239'}, car=Car{color='#afda2e', vin='SCBLF44J39C915414', company='Mitsubishi', model='Lancer', model_year='2004', price=48645.33}, location=Location{country='Poland', city='Kobylanka'}, date=2020-03-09}
Purchase{id=354, person=Person{name='Vi', surname='Ogilvie', email='vogilvie9t@yandex.ru', ip='83.96.144.114'}, car=Car{color='#1e6d7e', vin='3VW507AT2FM463610', company='Mitsubishi', model='GTO', model_year='1999', price=82712.62}, location=Location{country='Poland', city='Przelewice'}, date=2020-09-09}
Purchase{id=442, person=Person{name='Damien', surname='Hingeley', email='dhingeleyc9@tumblr.com', ip='115.218.94.51'}, car=Car{color='#6c64f1', vin='WAULT58E55A309706', company='Mitsubishi', model='Mirage', model_year='1990', price=75669.99}, location=Location{country='Poland', city='Jonkowo'}, date=2020-05-09}
