Purchase{id=76, person=Person{name='Ben', surname='Yarwood', email='byarwood23@creativecommons.org', ip='118.169.87.59'}, car=Car{color='#ff6af6', vin='WBA6B4C59DD511334', company='Nissan', model='300ZX', model_year='1991', price=12845.04}, location=Location{country='Poland', city='Borzęcin'}, date=2020-10-02}
Purchase{id=82, person=Person{name='Carlina', surname='Sharma', email='csharma29@wsj.com', ip='22.97.208.15'}, car=Car{color='#744ef6', vin='WAUJT68EX2A966932', company='Nissan', model='Altima', model_year='2003', price=36066.50}, location=Location{country='Poland', city='Łapanów'}, date=2020-02-16}
Purchase{id=106, person=Person{name='Chelsey', surname='Kreuzer', email='ckreuzer2x@lycos.com', ip='230.41.160.252'}, car=Car{color='#f22c72', vin='WVGEF9BP4FD544582', company='Nissan', model='Titan', model_year='2012', price=18572.45}, location=Location{country='Czech Republic', city='Čáslav'}, date=2020-04-07}
Purchase{id=122, person=Person{name='Enos', surname='Kimmons', email='ekimmons3d@netscape.com', ip='97.146.236.243'}, car=Car{color='#80f590', vin='WDDHF5KB9EA860967', company='Nissan', model='Sentra', model_year='2002', price=9821.53}, location=Location{country='Germany', city='Erfurt'}, date=2020-06-17}
Purchase{id=133, person=Person{name='Mauricio', surname='Berzin', email='mberzin3o@wired.com', ip='208.131.181.172'}, car=Car{color='#3fa88c', vin='WAUUL78E48A965531', company='Nissan', model='Cube', model_year='2012', price=53525.58}, location=Location{country='Germany', city='Chemnitz'}, date=2020-03-02}
Purchase{id=146, person=Person{name='Penny', surname='Litzmann', email='plitzmann41@mapy.cz', ip='8.218.144.184'}, car=Car{color='#16d952', vin='WAUDFAFL3AA370858', company='Nissan', model='Armada', model_year='2008', price=89173.53}, location=Location{country='Poland', city='Stoszowice'}, date=2020-10-02}
Purchase{id=159, person=Person{name='Kata', surname='de Glanville', email='kdeglanville4e@jalbum.net', ip='217.141.29.71'}, car=Car{color='#68a98f', vin='1GTC5LF9XC8889885', company='Nissan', model='Rogue', model_year='2010', price=45315.63}, location=Location{country='Denmark', city='København'}, date=2020-08-17}
Purchase{id=198, person=Person{name='Deeann', surname='Hruska', email='dhruska5h@epa.gov', ip='3.15.40.200'}, car=Car{color='#7887f1', vin='2C3CDYBT0EH160216', company='Nissan', model='Sentra', model_year='2009', price=5011.93}, location=Location{country='Poland', city='Strachówka'}, date=2020-03-10}
Purchase{id=219, person=Person{name='Julita', surname='Davydochkin', email='jdavydochkin62@cnn.com', ip='94.8.177.218'}, car=Car{color='#cea04a', vin='WDDHF0EB5EB909249', company='Nissan', model='Sentra', model_year='2005', price=80813.75}, location=Location{country='Germany', city='Leipzig'}, date=2020-12-29}
Purchase{id=246, person=Person{name='Emyle', surname='Tathacott', email='etathacott6t@studiopress.com', ip='90.189.143.41'}, car=Car{color='#8aa2ef', vin='WAUKFAFL2DA494969', company='Nissan', model='Maxima', model_year='2000', price=49132.44}, location=Location{country='Poland', city='Markowa'}, date=2020-10-10}
Purchase{id=290, person=Person{name='Yule', surname='Woodier', email='ywoodier81@gizmodo.com', ip='181.230.26.68'}, car=Car{color='#e71412', vin='WDDLJ6FB1FA422065', company='Nissan', model='Versa', model_year='2009', price=91895.71}, location=Location{country='Poland', city='Bieliny'}, date=2020-07-13}
Purchase{id=396, person=Person{name='Mic', surname='Musker', email='mmuskeraz@friendfeed.com', ip='251.130.189.20'}, car=Car{color='#1edf4b', vin='4T1BD1FK6CU327572', company='Nissan', model='Quest', model_year='1997', price=14566.11}, location=Location{country='Poland', city='Dolsk'}, date=2020-11-27}
Purchase{id=416, person=Person{name='Jennette', surname='Agnew', email='jagnewbj@epa.gov', ip='241.201.207.109'}, car=Car{color='#10b773', vin='1N6BF0KX3FN272455', company='Nissan', model='Pathfinder', model_year='1998', price=82779.06}, location=Location{country='Czech Republic', city='Hostavice'}, date=2020-12-16}
