Purchase{id=241, person=Person{name='Jayson', surname='Brodie', email='jbrodie6o@theguardian.com', ip='199.255.176.103'}, car=Car{color='#1991a7', vin='2FMGK5B81DB281456', company='Oldsmobile', model='Cutlass Supreme', model_year='1993', price=40700.58}, location=Location{country='Poland', city='Targanice'}, date=2020-05-27}
Purchase{id=291, person=Person{name='Marta', surname='Lushey', email='mlushey82@msn.com', ip='249.144.185.35'}, car=Car{color='#a24ff9', vin='SCBGU3ZA6DC852294', company='Oldsmobile', model='Alero', model_year='2003', price=19600.82}, location=Location{country='Poland', city='Czarna Białostocka'}, date=2020-02-26}
Purchase{id=339, person=Person{name='Salomi', surname='Hatterslay', email='shatterslay9e@wp.com', ip='220.101.47.247'}, car=Car{color='#283f29', vin='JN1AJ0HP3CM621686', company='Oldsmobile', model='Intrigue', model_year='2002', price=44180.49}, location=Location{country='Poland', city='Kościelec'}, date=2020-10-21}
Purchase{id=445, person=Person{name='Mandy', surname='Vockins', email='mvockinscc@accuweather.com', ip='191.72.51.194'}, car=Car{color='#2bbe8a', vin='WAUYP54B51N511003', company='Oldsmobile', model='Silhouette', model_year='1999', price=13640.67}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-11-27}
Purchase{id=486, person=Person{name='Zara', surname='Laboune', email='zlabounedh@163.com', ip='11.32.103.49'}, car=Car{color='#b7a3f2', vin='YV4940BZ4E1396231', company='Oldsmobile', model='Silhouette', model_year='1994', price=31020.67}, location=Location{country='Czech Republic', city='Horní Bečva'}, date=2020-06-29}
Purchase{id=577, person=Person{name='Donn', surname='Mayall', email='dmayallg0@youtu.be', ip='184.114.66.129'}, car=Car{color='#3b59b0', vin='WVWED7AJ0BW841410', company='Oldsmobile', model='Silhouette', model_year='1992', price=41257.28}, location=Location{country='Germany', city='Berlin'}, date=2020-04-27}
Purchase{id=619, person=Person{name='Salomo', surname='Bolan', email='sbolanh6@businessweek.com', ip='61.146.197.221'}, car=Car{color='#ecb418', vin='3MZBM1L76EM215606', company='Oldsmobile', model='Achieva', model_year='1995', price=28345.66}, location=Location{country='Poland', city='Szczawnica'}, date=2020-05-18}
Purchase{id=654, person=Person{name='Tobye', surname='Coleman', email='tcolemani5@reverbnation.com', ip='124.250.73.38'}, car=Car{color='#fed5af', vin='YV140MEA1F1071148', company='Oldsmobile', model='Intrigue', model_year='2000', price=60617.56}, location=Location{country='Czech Republic', city='Toužim'}, date=2020-12-23}
Purchase{id=766, person=Person{name='Ashlin', surname='Nagle', email='anaglel9@facebook.com', ip='15.150.23.198'}, car=Car{color='#d03493', vin='JH4DC53053C259280', company='Oldsmobile', model='Bravada', model_year='1997', price=99984.84}, location=Location{country='Poland', city='Osielsko'}, date=2020-02-29}
Purchase{id=787, person=Person{name='Willamina', surname='Heintze', email='wheintzelu@newsvine.com', ip='53.240.147.7'}, car=Car{color='#21d18c', vin='WBASP4C56AC472252', company='Oldsmobile', model='Achieva', model_year='1995', price=27473.11}, location=Location{country='Poland', city='Śniadowo'}, date=2020-11-08}
Purchase{id=798, person=Person{name='Karlis', surname='Pryor', email='kpryorm5@seesaa.net', ip='144.142.151.229'}, car=Car{color='#0f8702', vin='1FMJK1H59BE663960', company='Oldsmobile', model='Cutlass Supreme', model_year='1997', price=91265.88}, location=Location{country='Poland', city='Sokółka'}, date=2020-07-14}
Purchase{id=934, person=Person{name='Golda', surname='Studdal', email='gstuddalpx@epa.gov', ip='109.155.157.193'}, car=Car{color='#9ccbb2', vin='3C4PDDGGXFT647756', company='Oldsmobile', model='Intrigue', model_year='1998', price=18210.02}, location=Location{country='Poland', city='Lipiany'}, date=2020-03-26}
