Purchase{id=29, person=Person{name='Sacha', surname='Lamport', email='slamports@psu.edu', ip='134.108.190.141'}, car=Car{color='#cc8cd1', vin='YV1952AS8D1054810', company='Pontiac', model='Solstice', model_year='2006', price=20647.67}, location=Location{country='Czech Republic', city='Vidče'}, date=2020-05-14}
Purchase{id=45, person=Person{name='Ilene', surname='Langran', email='ilangran18@ft.com', ip='77.127.130.137'}, car=Car{color='#f1013b', vin='5GAER13718J360654', company='Pontiac', model='G6', model_year='2006', price=94006.99}, location=Location{country='Poland', city='Łękawica'}, date=2020-08-23}
Purchase{id=65, person=Person{name='Phoebe', surname='Hartford', email='phartford1s@unc.edu', ip='112.201.154.129'}, car=Car{color='#8c0d54', vin='2HNYD2H28CH766206', company='Pontiac', model='Sunbird', model_year='1986', price=45933.12}, location=Location{country='Czech Republic', city='Mohelnice'}, date=2020-12-18}
Purchase{id=100, person=Person{name='Nicolea', surname='Dench', email='ndench2r@hatena.ne.jp', ip='220.122.165.85'}, car=Car{color='#555d0f', vin='JN8AZ2KR7DT737349', company='Pontiac', model='Grand Prix', model_year='1990', price=31841.04}, location=Location{country='Poland', city='Górzno'}, date=2020-11-27}
Purchase{id=108, person=Person{name='Bell', surname='Pacitti', email='bpacitti2z@europa.eu', ip='146.21.20.84'}, car=Car{color='#d0460c', vin='3VW8S7AT9FM161500', company='Pontiac', model='Grand Prix', model_year='1999', price=94817.43}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-09}
Purchase{id=142, person=Person{name='Rayshell', surname='Seward', email='rseward3x@1688.com', ip='253.230.99.34'}, car=Car{color='#af5ca3', vin='1FTEW1CM8EF791159', company='Pontiac', model='6000', model_year='1988', price=5256.21}, location=Location{country='Poland', city='Kaliska'}, date=2020-04-26}
Purchase{id=158, person=Person{name='Germain', surname='Burgott', email='gburgott4d@e-recht24.de', ip='106.147.254.11'}, car=Car{color='#7c4f2f', vin='1G6DH8E57D0261969', company='Pontiac', model='Grand Prix', model_year='2001', price=36634.65}, location=Location{country='Czech Republic', city='Jablonec nad Jizerou'}, date=2020-07-11}
Purchase{id=175, person=Person{name='Kyla', surname='Aymes', email='kaymes4u@deviantart.com', ip='178.29.93.211'}, car=Car{color='#b67167', vin='1G6DK8E34D0341830', company='Pontiac', model='Bonneville', model_year='1967', price=5965.18}, location=Location{country='Czech Republic', city='Vlkoš'}, date=2020-08-13}
Purchase{id=211, person=Person{name='Lazare', surname='Wombwell', email='lwombwell5u@archive.org', ip='150.147.244.111'}, car=Car{color='#beaaba', vin='3D7JV1EP8AG307355', company='Pontiac', model='Daewoo Kalos', model_year='2006', price=87202.11}, location=Location{country='Poland', city='Bodzechów'}, date=2020-09-07}
Purchase{id=234, person=Person{name='Forrest', surname='Everill', email='feverill6h@toplist.cz', ip='99.117.218.57'}, car=Car{color='#e169a3', vin='YV126MFC8F1264760', company='Pontiac', model='Sunbird', model_year='1986', price=73973.16}, location=Location{country='Czech Republic', city='Drásov'}, date=2020-04-27}
Purchase{id=276, person=Person{name='Lambert', surname='Aughtie', email='laughtie7n@theglobeandmail.com', ip='160.2.55.235'}, car=Car{color='#c6448a', vin='WBALZ3C58CC247701', company='Pontiac', model='1000', model_year='1984', price=84056.46}, location=Location{country='Poland', city='Kurzętnik'}, date=2020-04-07}
Purchase{id=306, person=Person{name='Corey', surname='Bulcock', email='cbulcock8h@i2i.jp', ip='83.150.58.81'}, car=Car{color='#d37434', vin='WA1YD64B05N188948', company='Pontiac', model='Bonneville', model_year='1964', price=73227.73}, location=Location{country='Poland', city='Sośnie'}, date=2020-06-26}
