Purchase{id=164, person=Person{name='Hettie', surname='Grills', email='hgrills4j@businessinsider.com', ip='217.28.65.68'}, car=Car{color='#ad07b6', vin='1C3BCBFG1CN358350', company='Porsche', model='924 S', model_year='1987', price=96664.65}, location=Location{country='Poland', city='Paradyż'}, date=2020-12-16}
Purchase{id=171, person=Person{name='Chelsae', surname='Flather', email='cflather4q@merriam-webster.com', ip='50.80.35.155'}, car=Car{color='#0ebf5e', vin='1GKS2GEJ8CR620290', company='Porsche', model='911', model_year='2012', price=15405.22}, location=Location{country='Czech Republic', city='Višňové'}, date=2020-12-04}
Purchase{id=258, person=Person{name='Twyla', surname='Dougary', email='tdougary75@mapquest.com', ip='148.74.195.8'}, car=Car{color='#069a71', vin='ZFBCFABH5FZ754958', company='Porsche', model='911', model_year='2013', price=89132.44}, location=Location{country='Poland', city='Malanów'}, date=2020-01-25}
Purchase{id=572, person=Person{name='Antonius', surname='Whibley', email='awhibleyfv@about.com', ip='133.222.186.221'}, car=Car{color='#b02d9c', vin='JN1AY1AP4BM053118', company='Porsche', model='Boxster', model_year='1998', price=59274.97}, location=Location{country='Poland', city='Jednorożec'}, date=2020-10-15}
Purchase{id=599, person=Person{name='Kippy', surname='Schermick', email='kschermickgm@paypal.com', ip='106.225.188.88'}, car=Car{color='#55569e', vin='WAUVC58E03A629585', company='Porsche', model='Cayenne', model_year='2011', price=99706.01}, location=Location{country='Czech Republic', city='Trmice'}, date=2020-08-23}
Purchase{id=696, person=Person{name='Solomon', surname='Haitlie', email='shaitliejb@51.la', ip='84.126.18.51'}, car=Car{color='#f8a602', vin='1D7RV1CP3BS521993', company='Porsche', model='911', model_year='1999', price=32261.25}, location=Location{country='Czech Republic', city='Cheb'}, date=2020-09-24}
Purchase{id=786, person=Person{name='Gabbie', surname='Swidenbank', email='gswidenbanklt@deviantart.com', ip='7.91.176.191'}, car=Car{color='#cced5e', vin='2G4WD582871982579', company='Porsche', model='911', model_year='2012', price=96690.50}, location=Location{country='Poland', city='Żółkiewka'}, date=2020-11-23}
Purchase{id=822, person=Person{name='Lane', surname='Bewlie', email='lbewliemt@a8.net', ip='42.92.90.156'}, car=Car{color='#27f800', vin='WBALY1C57ED761088', company='Porsche', model='Boxster', model_year='2001', price=53675.87}, location=Location{country='Poland', city='Kamieniec'}, date=2020-10-04}
Purchase{id=851, person=Person{name='Susan', surname='Labbet', email='slabbetnm@e-recht24.de', ip='144.230.120.154'}, car=Car{color='#b5b151', vin='5TDDW5G19FS981723', company='Porsche', model='911', model_year='1988', price=42587.96}, location=Location{country='Poland', city='Polanka Wielka'}, date=2020-11-05}
Purchase{id=892, person=Person{name='Aldin', surname='Rosengart', email='arosengartor@bandcamp.com', ip='194.220.244.32'}, car=Car{color='#1a6ccd', vin='JN1AZ4EH8BM271032', company='Porsche', model='911', model_year='1997', price=24654.89}, location=Location{country='Poland', city='Warlubie'}, date=2020-09-23}
Purchase{id=896, person=Person{name='Kevon', surname='Gobbet', email='kgobbetov@toplist.cz', ip='129.176.192.187'}, car=Car{color='#f6a6dc', vin='WAUGFAFR3EA966186', company='Porsche', model='Cayenne', model_year='2010', price=22476.31}, location=Location{country='Poland', city='Reda'}, date=2020-03-13}
Purchase{id=949, person=Person{name='Christal', surname='Beardsdale', email='cbeardsdaleqc@moonfruit.com', ip='217.219.117.226'}, car=Car{color='#3c8f14', vin='1N6AA0EK2FN082804', company='Porsche', model='911', model_year='1989', price=89243.32}, location=Location{country='Poland', city='Łobez'}, date=2020-07-05}
