Purchase{id=95, person=Person{name='Horten', surname='Crimmins', email='hcrimmins2m@last.fm', ip='151.59.157.184'}, car=Car{color='#948555', vin='1FTWW3DY6AE591446', company='Saab', model='9-7X', model_year='2009', price=48257.80}, location=Location{country='Czech Republic', city='Jevíčko'}, date=2020-12-16}
Purchase{id=255, person=Person{name='Derrek', surname='Boggas', email='dboggas72@imageshack.us', ip='162.222.114.91'}, car=Car{color='#794309', vin='1FTMF1EW5AK588063', company='Saab', model='9000', model_year='1997', price=41963.43}, location=Location{country='Poland', city='Tyrawa Wołoska'}, date=2020-03-30}
Purchase{id=266, person=Person{name='Emmy', surname='Van den Velden', email='evandenvelden7d@yelp.com', ip='24.255.196.23'}, car=Car{color='#fb673f', vin='SCFFDAAEXCG289495', company='Saab', model='9-5', model_year='2011', price=84764.56}, location=Location{country='Poland', city='Trzcinica'}, date=2020-03-22}
Purchase{id=268, person=Person{name='Nevin', surname='Lafond', email='nlafond7f@youtu.be', ip='243.13.113.179'}, car=Car{color='#8cb5aa', vin='1N6AA0CC2BN331740', company='Saab', model='9000', model_year='1986', price=71315.68}, location=Location{country='Poland', city='Kiernozia'}, date=2020-05-08}
Purchase{id=321, person=Person{name='Adara', surname='Raincin', email='araincin8w@e-recht24.de', ip='126.118.35.206'}, car=Car{color='#369cbb', vin='WAUED64B91N174322', company='Saab', model='9-5', model_year='2011', price=9799.03}, location=Location{country='Poland', city='Trzciana'}, date=2020-04-20}
Purchase{id=537, person=Person{name='Elisha', surname='Turfs', email='eturfsew@simplemachines.org', ip='251.19.103.243'}, car=Car{color='#233fe5', vin='WBS3R9C57FK068901', company='Saab', model='900', model_year='1988', price=4098.13}, location=Location{country='Czech Republic', city='Milevsko'}, date=2020-06-26}
Purchase{id=568, person=Person{name='Jeannette', surname='Crone', email='jcronefr@netvibes.com', ip='102.34.4.226'}, car=Car{color='#0946c6', vin='JN8AZ2KR4DT722324', company='Saab', model='9-5', model_year='2006', price=81185.71}, location=Location{country='Poland', city='Ojrzeń'}, date=2020-06-17}
Purchase{id=711, person=Person{name='Rebeka', surname='Swyne', email='rswynejq@liveinternet.ru', ip='40.135.199.195'}, car=Car{color='#832b60', vin='1FTEW1CF4FF633985', company='Saab', model='9-7X', model_year='2008', price=62681.36}, location=Location{country='Poland', city='Górzno'}, date=2020-08-27}
Purchase{id=768, person=Person{name='Zitella', surname='Twinberrow', email='ztwinberrowlb@naver.com', ip='248.43.124.23'}, car=Car{color='#b9615b', vin='SALVN2BG5FH918505', company='Saab', model='9-7X', model_year='2009', price=47600.13}, location=Location{country='Poland', city='Łąck'}, date=2020-12-14}
Purchase{id=832, person=Person{name='Howie', surname='McCallum', email='hmccallumn3@ezinearticles.com', ip='98.20.6.21'}, car=Car{color='#fe52c6', vin='3VW467AT2CM735157', company='Saab', model='900', model_year='1996', price=94045.61}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-04-11}
Purchase{id=855, person=Person{name='Janean', surname='Clowney', email='jclowneynq@prnewswire.com', ip='27.15.19.28'}, car=Car{color='#4c2930', vin='1N4AB7AP5EN975371', company='Saab', model='9-5', model_year='1999', price=49651.80}, location=Location{country='Denmark', city='København'}, date=2020-07-26}
Purchase{id=871, person=Person{name='Raven', surname='Sanchis', email='rsanchiso6@spiegel.de', ip='94.67.187.203'}, car=Car{color='#1fff46', vin='WA1AGBFE2CD361929', company='Saab', model='9-3', model_year='2011', price=35561.43}, location=Location{country='Poland', city='Chełmża'}, date=2020-05-26}
Purchase{id=986, person=Person{name='Tedda', surname='Haslock', email='thaslockrd@linkedin.com', ip='67.222.96.231'}, car=Car{color='#5ccd43', vin='1G6YV34A355997078', company='Saab', model='9000', model_year='1994', price=49014.60}, location=Location{country='Poland', city='Łękawica'}, date=2020-06-06}
