Purchase{id=73, person=Person{name='Shaylyn', surname='Jupe', email='sjupe20@yellowbook.com', ip='218.135.112.193'}, car=Car{color='#9e9218', vin='WAUKF98E57A836352', company='Subaru', model='Forester', model_year='2012', price=72205.00}, location=Location{country='Poland', city='Żurowa'}, date=2020-05-29}
Purchase{id=78, person=Person{name='Albie', surname='Fleischer', email='afleischer25@1688.com', ip='219.54.5.86'}, car=Car{color='#2019ca', vin='4A4AP3AU8DE558800', company='Subaru', model='Legacy', model_year='2005', price=84470.36}, location=Location{country='Czech Republic', city='Veltruby'}, date=2020-01-11}
Purchase{id=144, person=Person{name='Helaina', surname='Ricarde', email='hricarde3z@diigo.com', ip='10.103.101.175'}, car=Car{color='#98f6de', vin='KNADH4A35B6864470', company='Subaru', model='Leone', model_year='1989', price=61810.51}, location=Location{country='Poland', city='Rusocice'}, date=2020-11-20}
Purchase{id=231, person=Person{name='Marchall', surname='Goldsberry', email='mgoldsberry6e@clickbank.net', ip='153.35.46.255'}, car=Car{color='#c13843', vin='1GKS1HE00DR398104', company='Subaru', model='Justy', model_year='1990', price=82502.60}, location=Location{country='Poland', city='Paprotnia'}, date=2020-06-23}
Purchase{id=254, person=Person{name='Chrisy', surname='Puffett', email='cpuffett71@arstechnica.com', ip='251.34.85.23'}, car=Car{color='#1a0157', vin='1N6AA0EC6DN489739', company='Subaru', model='Legacy', model_year='2004', price=84340.16}, location=Location{country='Poland', city='Świeradów-Zdrój'}, date=2020-03-18}
Purchase{id=287, person=Person{name='Granville', surname='Deniske', email='gdeniske7y@google.de', ip='131.148.14.80'}, car=Car{color='#6e9c71', vin='SCFFBCCD9BG210130', company='Subaru', model='SVX', model_year='1997', price=96360.87}, location=Location{country='Czech Republic', city='Horní Jiřetín'}, date=2020-07-22}
Purchase{id=318, person=Person{name='Bendix', surname='De Morena', email='bdemorena8t@deviantart.com', ip='190.2.24.213'}, car=Car{color='#90e00e', vin='WBSPM93579E089279', company='Subaru', model='Tribeca', model_year='2008', price=51935.34}, location=Location{country='Poland', city='Zator'}, date=2020-04-04}
Purchase{id=497, person=Person{name='Jecho', surname='Booth', email='jboothds@boston.com', ip='170.86.23.130'}, car=Car{color='#55515e', vin='1FM5K7B84FG098521', company='Subaru', model='Justy', model_year='1993', price=15384.23}, location=Location{country='Poland', city='Twardawa'}, date=2020-01-14}
Purchase{id=547, person=Person{name='Aguste', surname='Peagram', email='apeagramf6@lycos.com', ip='10.160.170.234'}, car=Car{color='#935b01', vin='1GYS4FEJ4DR413164', company='Subaru', model='Outback', model_year='2003', price=37162.04}, location=Location{country='Poland', city='Bałtów'}, date=2020-05-24}
Purchase{id=549, person=Person{name='Craig', surname='Hulbert', email='chulbertf8@macromedia.com', ip='164.161.88.123'}, car=Car{color='#cfc789', vin='WAUMGBFL9DA137767', company='Subaru', model='Loyale', model_year='1992', price=43850.02}, location=Location{country='Poland', city='Klwów'}, date=2020-05-15}
Purchase{id=561, person=Person{name='Vida', surname='Edmondson', email='vedmondsonfk@rediff.com', ip='35.83.237.87'}, car=Car{color='#3265ac', vin='WAUKF78E18A879883', company='Subaru', model='Forester', model_year='2010', price=93179.89}, location=Location{country='Germany', city='Hanau'}, date=2020-02-08}
Purchase{id=582, person=Person{name='Padraig', surname='Porritt', email='pporrittg5@livejournal.com', ip='238.12.135.122'}, car=Car{color='#0e06db', vin='3VWKX7AJ8AM222365', company='Subaru', model='Justy', model_year='1988', price=38207.69}, location=Location{country='Czech Republic', city='Sokolnice'}, date=2020-03-12}
Purchase{id=670, person=Person{name='Edeline', surname='Burkill', email='eburkillil@wufoo.com', ip='98.180.20.157'}, car=Car{color='#09d32a', vin='JH4DC53863S360131', company='Subaru', model='Legacy', model_year='2012', price=25586.33}, location=Location{country='Czech Republic', city='Starý Bohumín'}, date=2020-01-22}
Purchase{id=726, person=Person{name='Malory', surname='McHaffy', email='mmchaffyk5@google.com.br', ip='107.82.158.90'}, car=Car{color='#d6c40f', vin='1D4PT6GX9AW071839', company='Subaru', model='Forester', model_year='1999', price=78481.71}, location=Location{country='Poland', city='Zabłocie'}, date=2020-07-27}
Purchase{id=905, person=Person{name='Guido', surname='Meneyer', email='gmeneyerp4@ucsd.edu', ip='31.211.100.115'}, car=Car{color='#a8898f', vin='1G6DP5E39C0203022', company='Subaru', model='Outback', model_year='2009', price=72940.96}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-07-08}
