Purchase{id=16, person=Person{name='Wolf', surname='Couroy', email='wcouroyf@dot.gov', ip='204.180.151.24'}, car=Car{color='#87b060', vin='WBAAZ33415K216099', company='Toyota', model='T100 Xtra', model_year='1995', price=83465.10}, location=Location{country='Poland', city='Smolec'}, date=2020-05-27}
Purchase{id=23, person=Person{name='Standford', surname='McBayne', email='smcbaynem@topsy.com', ip='219.138.159.166'}, car=Car{color='#5d3d15', vin='2D4RN7DG9BR523778', company='Toyota', model='4Runner', model_year='1997', price=44024.02}, location=Location{country='Czech Republic', city='Chyňava'}, date=2020-10-20}
Purchase{id=64, person=Person{name='Roseline', surname='Francescuccio', email='rfrancescuccio1r@economist.com', ip='252.22.214.206'}, car=Car{color='#fe13d7', vin='SCBCR73W99C041320', company='Toyota', model='T100', model_year='1996', price=56891.24}, location=Location{country='Poland', city='Ręczno'}, date=2020-02-29}
Purchase{id=93, person=Person{name='Jake', surname='Wedge', email='jwedge2k@studiopress.com', ip='143.113.58.136'}, car=Car{color='#a49a39', vin='19UUB3F71FA807150', company='Toyota', model='Camry', model_year='2010', price=70473.21}, location=Location{country='Czech Republic', city='Zvole'}, date=2020-09-08}
Purchase{id=103, person=Person{name='Nathaniel', surname='Bunney', email='nbunney2u@qq.com', ip='183.181.78.22'}, car=Car{color='#5e30cf', vin='WBANB33575B546408', company='Toyota', model='Sequoia', model_year='2012', price=2401.63}, location=Location{country='Poland', city='Polanka Wielka'}, date=2020-02-26}
Purchase{id=105, person=Person{name='Sadie', surname='Lineham', email='slineham2w@nasa.gov', ip='33.94.149.8'}, car=Car{color='#bdf7a6', vin='WAUVFAFR5CA695605', company='Toyota', model='Previa', model_year='1997', price=75874.85}, location=Location{country='Czech Republic', city='Nové Město pod Smrkem'}, date=2020-05-24}
Purchase{id=118, person=Person{name='Terry', surname='Necolds', email='tnecolds39@bandcamp.com', ip='127.79.6.232'}, car=Car{color='#06894a', vin='1FTMF1CW5AK981046', company='Toyota', model='Avalon', model_year='1998', price=70333.33}, location=Location{country='Czech Republic', city='Železný Brod'}, date=2020-12-01}
Purchase{id=135, person=Person{name='Austine', surname='Owttrim', email='aowttrim3q@canalblog.com', ip='159.241.46.182'}, car=Car{color='#12ab72', vin='3D7TT2CT0AG015316', company='Toyota', model='Highlander', model_year='2004', price=80403.95}, location=Location{country='Germany', city='Leipzig'}, date=2020-11-27}
Purchase{id=179, person=Person{name='Rose', surname='Garfitt', email='rgarfitt4y@histats.com', ip='124.148.182.118'}, car=Car{color='#143528', vin='JN8AE2KP3B9529747', company='Toyota', model='Tercel', model_year='1993', price=16793.13}, location=Location{country='Germany', city='Hamburg'}, date=2020-11-12}
Purchase{id=180, person=Person{name='Janet', surname='Gourley', email='jgourley4z@sourceforge.net', ip='190.51.206.173'}, car=Car{color='#aac26c', vin='3C3CFFJH9ET358618', company='Toyota', model='Tundra', model_year='2005', price=55141.00}, location=Location{country='Czech Republic', city='Zaječí'}, date=2020-12-06}
Purchase{id=181, person=Person{name='Cody', surname='De Lacey', email='cdelacey50@state.gov', ip='99.214.16.225'}, car=Car{color='#a62cc9', vin='JA4AP3AU6BZ179950', company='Toyota', model='4Runner', model_year='1994', price=79398.95}, location=Location{country='Czech Republic', city='Šluknov'}, date=2020-01-20}
Purchase{id=222, person=Person{name='Lemar', surname='Cordes', email='lcordes65@nifty.com', ip='34.120.48.206'}, car=Car{color='#54888a', vin='3GTU2YEJ8CG745896', company='Toyota', model='Land Cruiser', model_year='1996', price=75418.19}, location=Location{country='Czech Republic', city='Sokolnice'}, date=2020-08-30}
Purchase{id=233, person=Person{name='Ruthanne', surname='Manion', email='rmanion6g@ask.com', ip='30.95.19.163'}, car=Car{color='#9b7386', vin='5N1AA0NC4CN776767', company='Toyota', model='Tacoma Xtra', model_year='1995', price=17711.85}, location=Location{country='Poland', city='Chwaszczyno'}, date=2020-07-16}
Purchase{id=243, person=Person{name='Maryanna', surname='Poyzer', email='mpoyzer6q@mashable.com', ip='153.199.165.20'}, car=Car{color='#b3177d', vin='3VWF17AT0FM706624', company='Toyota', model='Ipsum', model_year='2000', price=41036.16}, location=Location{country='Poland', city='Przemków'}, date=2020-10-10}
Purchase{id=244, person=Person{name='Danyelle', surname='Galtone', email='dgaltone6r@jigsy.com', ip='201.182.106.236'}, car=Car{color='#9420b2', vin='KL4CJESB1EB970869', company='Toyota', model='Tacoma Xtra', model_year='1997', price=17651.88}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-11-07}
Purchase{id=282, person=Person{name='Charity', surname='Rodway', email='crodway7t@google.ru', ip='164.149.4.199'}, car=Car{color='#ae11ba', vin='WDCYC3HF8BX263054', company='Toyota', model='Celica', model_year='2002', price=87073.77}, location=Location{country='Poland', city='Wołczyn'}, date=2020-03-13}
Purchase{id=310, person=Person{name='Eadie', surname='Rainey', email='erainey8l@google.com', ip='93.125.211.222'}, car=Car{color='#20923a', vin='2HNYD28258H892952', company='Toyota', model='Land Cruiser', model_year='2003', price=78357.14}, location=Location{country='Czech Republic', city='Želetava'}, date=2020-03-10}
Purchase{id=326, person=Person{name='Christina', surname='Aloway', email='caloway91@wufoo.com', ip='78.250.168.4'}, car=Car{color='#171bde', vin='1G6DD1E38E0221578', company='Toyota', model='Yaris', model_year='2008', price=95943.63}, location=Location{country='Czech Republic', city='Týnec'}, date=2020-01-02}
Purchase{id=329, person=Person{name='Ilyse', surname='Sibthorpe', email='isibthorpe94@smh.com.au', ip='127.142.21.80'}, car=Car{color='#5dbb3b', vin='WBABS53432J176923', company='Toyota', model='FJ Cruiser', model_year='2010', price=42841.55}, location=Location{country='Poland', city='Stalowa Wola'}, date=2020-08-11}
