Purchase{id=62, person=Person{name='Dorey', surname='Ayce', email='dayce1p@oakley.com', ip='237.66.116.77'}, car=Car{color='#99b43e', vin='1N4AB7AP3DN745763', company='Volvo', model='XC90', model_year='2003', price=45536.60}, location=Location{country='Czech Republic', city='Jaroměř'}, date=2020-02-01}
Purchase{id=81, person=Person{name='Marietta', surname='Matusovsky', email='mmatusovsky28@wp.com', ip='227.57.182.131'}, car=Car{color='#5e5ac3', vin='1G6AK5SX1E0004400', company='Volvo', model='V50', model_year='2006', price=95214.12}, location=Location{country='Poland', city='Lubień Kujawski'}, date=2020-10-13}
Purchase{id=104, person=Person{name='Hillel', surname='Gulberg', email='hgulberg2v@uol.com.br', ip='245.28.146.164'}, car=Car{color='#be8d7c', vin='WAUSH98E77A370532', company='Volvo', model='C30', model_year='2012', price=48525.09}, location=Location{country='Poland', city='Sosnowiec'}, date=2020-09-29}
Purchase{id=115, person=Person{name='Esta', surname='Knowlman', email='eknowlman36@webnode.com', ip='162.212.125.85'}, car=Car{color='#4b8723', vin='WDDHF2EB1DA707847', company='Volvo', model='S40', model_year='2010', price=1686.18}, location=Location{country='Czech Republic', city='Nová Paka'}, date=2020-05-03}
Purchase{id=127, person=Person{name='Rhody', surname='Silson', email='rsilson3i@woothemes.com', ip='150.7.140.200'}, car=Car{color='#e2f736', vin='1G4GG5G32CF381077', company='Volvo', model='S80', model_year='2000', price=65303.70}, location=Location{country='Germany', city='Köln'}, date=2020-08-10}
Purchase{id=131, person=Person{name='Caritta', surname='Penright', email='cpenright3m@intel.com', ip='157.148.217.153'}, car=Car{color='#a07f32', vin='WDDHH8JBXFB613580', company='Volvo', model='V70', model_year='2009', price=61642.73}, location=Location{country='Poland', city='Milanówek'}, date=2020-09-23}
Purchase{id=174, person=Person{name='Jay', surname='Diloway', email='jdiloway4t@bluehost.com', ip='112.171.188.5'}, car=Car{color='#74e5c9', vin='2FMGK5BC0BB796935', company='Volvo', model='XC70', model_year='2007', price=39565.71}, location=Location{country='Poland', city='Szelków'}, date=2020-11-21}
Purchase{id=240, person=Person{name='Cletis', surname='Swiers', email='cswiers6n@msu.edu', ip='177.142.211.247'}, car=Car{color='#b203c6', vin='5NPEB4AC1BH572085', company='Volvo', model='S80', model_year='2000', price=97566.15}, location=Location{country='Poland', city='Pruchnik'}, date=2020-12-12}
Purchase{id=350, person=Person{name='Granny', surname='Vanns', email='gvanns9p@wikimedia.org', ip='206.67.4.114'}, car=Car{color='#eed324', vin='3VW4T7AT6EM080674', company='Volvo', model='XC90', model_year='2013', price=52450.55}, location=Location{country='Poland', city='Puńsk'}, date=2020-06-01}
Purchase{id=447, person=Person{name='Pippy', surname='Lawry', email='plawryce@yahoo.com', ip='135.97.103.59'}, car=Car{color='#7a41d8', vin='3GYT4NEFXBG214899', company='Volvo', model='850', model_year='1996', price=18007.71}, location=Location{country='Czech Republic', city='Dobratice'}, date=2020-01-09}
Purchase{id=455, person=Person{name='Jannel', surname='Sircombe', email='jsircombecm@fastcompany.com', ip='174.0.164.184'}, car=Car{color='#a69c05', vin='3VWPG3AG1AM831140', company='Volvo', model='XC70', model_year='2008', price=84822.49}, location=Location{country='Czech Republic', city='Zbýšov'}, date=2020-07-30}
Purchase{id=463, person=Person{name='Sarge', surname='Dewi', email='sdewicu@xinhuanet.com', ip='233.164.255.106'}, car=Car{color='#c79ee1', vin='WBAYE8C54DD504377', company='Volvo', model='C70', model_year='2004', price=28721.16}, location=Location{country='Poland', city='Jastrowie'}, date=2020-01-29}
Purchase{id=698, person=Person{name='Verla', surname='Wadlow', email='vwadlowjd@blogtalkradio.com', ip='244.255.54.18'}, car=Car{color='#1af3da', vin='WUATNAFG6CN215918', company='Volvo', model='XC90', model_year='2004', price=88051.88}, location=Location{country='Czech Republic', city='Hostomice'}, date=2020-04-19}
Purchase{id=707, person=Person{name='Darbee', surname='Tillett', email='dtillettjm@infoseek.co.jp', ip='228.226.88.199'}, car=Car{color='#d322d0', vin='19UUA56633A159019', company='Volvo', model='S60', model_year='2011', price=3041.86}, location=Location{country='Czech Republic', city='Zábřeh'}, date=2020-11-09}
Purchase{id=803, person=Person{name='Lothaire', surname='Capron', email='lcapronma@independent.co.uk', ip='7.85.231.234'}, car=Car{color='#4626e4', vin='1FT7W2A6XEE524128', company='Volvo', model='V70', model_year='2006', price=20525.58}, location=Location{country='Poland', city='Jabłoń'}, date=2020-10-29}
Purchase{id=818, person=Person{name='Raff', surname='Robertet', email='rrobertetmp@statcounter.com', ip='53.139.206.96'}, car=Car{color='#896054', vin='1FTFW1E88AK760919', company='Volvo', model='S40', model_year='2007', price=15768.43}, location=Location{country='Poland', city='Wysoka'}, date=2020-06-21}
Purchase{id=841, person=Person{name='Lia', surname='Mockford', email='lmockfordnc@naver.com', ip='103.42.221.3'}, car=Car{color='#167bc7', vin='WBSDX9C58DJ063686', company='Volvo', model='S80', model_year='2005', price=24114.33}, location=Location{country='Czech Republic', city='Staré Město'}, date=2020-06-02}
Purchase{id=933, person=Person{name='Charlotta', surname='Owbrick', email='cowbrickpw@w3.org', ip='145.128.195.219'}, car=Car{color='#97f49e', vin='1GYS4TKJXFR276804', company='Volvo', model='850', model_year='1996', price=96991.57}, location=Location{country='Poland', city='Radzanów'}, date=2020-09-26}
